IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 22 122539.166667 0.000000 13666.666667 108872.500000 5664.500000 105708.343833 11166.322833
1 21 106894.166667 0.000000 10366.666667 96527.500000 5051.850000 92099.425833 9742.890833
61 22 119966.556715 0.000000 13769.166667 106197.390048 8532.442333 104445.931557 6988.182824
61 21 104001.901763 0.000000 10444.416667 93557.485097 7766.681098 89741.320876 6493.899789
121 22 100029.286165 0.000000 8463.000000 91566.286165 10341.313410 102105.867885 -12417.895130
121 21 86492.584890 0.000000 10444.416667 76048.168224 9420.717114 87606.904413 -10535.036637
181 22 74139.793130 0.000000 4903.166667 69236.626464 12744.135150 99354.111652 -37958.453671
181 21 65258.090448 0.000000 4365.833333 60892.257115 11443.822943 85296.693805 -31482.426301
241 22 60747.367972 0.000000 4231.500000 56515.867972 15600.444294 96319.081865 -51172.158188
241 21 53401.822956 0.000000 3694.166667 49707.656290 13880.672631 82701.039561 -43179.889235
301 22 48547.242045 0.000000 4231.500000 44315.742045 18407.726771 93432.563081 -63293.047807
301 21 41591.214343 0.000000 3694.166667 37897.047676 16649.671931 79857.587050 -54916.044639
361 22 39131.618921 0.000000 4231.500000 34900.118921 21565.277784 90280.848861 -72714.507724
361 21 36685.203033 0.000000 3694.166667 32991.036367 19414.706137 77092.701936 -59822.205040
421 22 36113.141674 0.000000 4703.688271 31409.453404 24425.235550 87876.036134 -76188.130010
421 21 33101.773892 0.000000 3694.166667 29407.607226 22596.781170 73850.437403 -63345.444680
481 22 35448.421119 0.000000 4703.688271 30744.732848 27920.959173 84382.806703 -76855.344757
481 21 32955.119498 0.000000 3694.166667 29260.952832 24373.503008 72098.789677 -63517.173187
541 22 35325.569464 0.000000 4703.688271 30621.881193 30422.071763 81970.963080 -77067.465379
541 21 32838.216505 0.000000 3694.166667 29144.049839 27102.257580 69416.891981 -63680.933055
601 22 35201.949986 0.000000 4703.688271 30498.261715 34089.829575 78380.415018 -77268.294606
601 21 32720.582869 0.000000 3694.166667 29026.416202 30307.002921 66245.594026 -63832.014079
661 22 35077.557886 0.000000 4703.688271 30373.869616 37167.399395 75362.102206 -77451.943715
661 21 32602.214022 0.000000 3694.166667 28908.047355 32915.905479 63654.282365 -63967.973822
721 22 34952.388336 0.000000 4703.688271 30248.700066 39955.937535 72617.729511 -77621.278709
721 21 32483.105370 0.000000 3694.166667 28788.938703 35342.861795 61231.960388 -64091.716813
