IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 22 1191.225000 1191.225000 574.171375 0.000000 574.171375 617.053625 0.000000 0.000000
1 21 1043.025000 1043.025000 500.441875 0.000000 500.441875 542.583125 0.000000 0.000000
61 22 805.258532 805.258532 434.647914 306.422466 128.225448 370.610618 0.000000 617.053625
61 21 688.900216 688.900216 111.748698 0.000000 111.748698 577.151518 0.000000 542.583125
121 22 777.570587 777.570587 128.535025 0.000000 128.535025 649.035561 0.000000 370.610618
121 21 670.244465 670.244465 110.857262 0.000000 110.857262 559.387203 0.000000 577.151518
181 22 802.623535 802.623535 129.011408 0.000000 129.011408 673.612127 0.000000 649.035561
181 21 686.028518 686.028518 110.607628 0.000000 110.607628 575.420890 0.000000 559.387203
241 22 816.571972 816.571972 130.665733 0.000000 130.665733 685.906239 0.000000 673.612127
241 21 706.331491 706.331491 108.109820 0.000000 108.109820 598.221671 0.000000 575.420890
301 22 980.662404 980.662404 1012.996011 761.562753 251.433258 -32.333607 0.000000 685.906239
301 21 871.167443 871.167443 223.952969 0.000000 223.952969 647.214475 0.000000 598.221671
361 22 861.672985 861.672985 124.720864 0.000000 124.720864 736.952120 0.000000 0.000000
361 21 768.739977 768.739977 113.236021 0.000000 113.236021 655.503956 0.000000 647.214475
421 22 867.021925 867.021925 125.339769 0.000000 125.339769 741.682156 0.000000 736.952120
421 21 774.591144 774.591144 112.131795 0.000000 112.131795 662.459349 0.000000 655.503956
481 22 886.737094 886.737094 124.279067 0.000000 124.279067 762.458027 0.000000 741.682156
481 21 793.677599 793.677599 113.697067 0.000000 113.697067 679.980533 0.000000 662.459349
541 22 904.658504 904.658504 124.107570 0.000000 124.107570 780.550933 0.000000 762.458027
541 21 807.394423 807.394423 913.514145 800.644925 112.869220 -106.119722 679.980533 0.000000
601 22 921.287114 921.287114 123.301033 0.000000 123.301033 797.986081 780.550933 0.000000
601 21 818.147841 818.147841 111.550599 0.000000 111.550599 706.597242 0.000000 0.000000
661 22 930.986151 930.986151 124.553017 0.000000 124.553017 806.433134 0.000000 797.986081
661 21 836.877357 836.877357 109.496062 0.000000 109.496062 727.381296 706.597242 0.000000
721 22 932.589441 932.589441 121.427435 0.000000 121.427435 811.162006 0.000000 806.433134
721 21 857.080572 857.080572 114.460298 0.000000 114.460298 742.620274 0.000000 727.381296
781 22 946.256055 946.256055 121.506260 0.000000 121.506260 824.749795 0.000000 811.162006
781 21 862.111712 862.111712 114.422393 0.000000 114.422393 747.689318 0.000000 742.620274
841 22 957.023376 957.023376 120.192544 0.000000 120.192544 836.830832 824.749795 0.000000
841 21 870.150112 870.150112 114.504604 0.000000 114.504604 755.645508 0.000000 747.689318
901 22 960.184907 960.184907 901.210294 781.348167 119.862127 58.974613 0.000000 836.830832
901 21 885.335285 885.335285 113.522366 0.000000 113.522366 771.812919 755.645508 0.000000
961 22 967.017658 967.017658 119.626794 0.000000 119.626794 847.390864 0.000000 58.974613
961 21 890.474965 890.474965 113.171336 0.000000 113.171336 777.303629 0.000000 771.812919
1021 22 976.414091 976.414091 118.963432 0.000000 118.963432 857.450659 0.000000 847.390864
1021 21 893.999490 893.999490 113.998925 0.000000 113.998925 780.000565 0.000000 777.303629
1081 22 980.943333 980.943333 119.574095 0.000000 119.574095 861.369239 0.000000 857.450659
1081 21 899.647229 899.647229 114.221317 0.000000 114.221317 785.425912 0.000000 780.000565
1141 22 995.300238 995.300238 119.274903 0.000000 119.274903 876.025336 0.000000 861.369239
1141 21 896.595462 896.595462 113.204759 0.000000 113.204759 783.390703 0.000000 785.425912
1201 22 1001.700104 1001.700104 121.069852 0.000000 121.069852 880.630252 0.000000 876.025336
1201 21 907.701536 907.701536 112.023531 0.000000 112.023531 795.678005 0.000000 783.390703
1261 22 1011.018546 1011.018546 118.893438 0.000000 118.893438 892.125108 880.630252 0.000000
1261 21 916.622388 916.622388 112.540209 0.000000 112.540209 804.082179 0.000000 795.678005
1321 22 1012.478692 1012.478692 118.987441 0.000000 118.987441 893.491252 0.000000 892.125108
1321 21 927.141061 927.141061 111.364568 0.000000 111.364568 815.776493 804.082179 0.000000
1381 22 1019.759352 1019.759352 119.353962 0.000000 119.353962 900.405389 0.000000 893.491252
1381 21 929.019026 929.019026 111.025492 0.000000 111.025492 817.993534 0.000000 815.776493
1441 22 1023.479829 1023.479829 118.536680 0.000000 118.536680 904.943149 0.000000 900.405389
1441 21 938.382649 938.382649 110.868782 0.000000 110.868782 827.513866 0.000000 817.993534
1501 22 1025.336327 1025.336327 117.544173 0.000000 117.544173 907.792154 0.000000 904.943149
1501 21 946.957452 946.957452 111.571523 0.000000 111.571523 835.385929 0.000000 827.513866
1561 22 1035.270807 1035.270807 115.020084 0.000000 115.020084 920.250722 0.000000 907.792154
1561 21 947.771425 947.771425 112.332543 0.000000 112.332543 835.438883 0.000000 835.385929
1621 22 1043.428820 1043.428820 116.675293 0.000000 116.675293 926.753527 0.000000 920.250722
1621 21 945.479456 945.479456 109.901508 0.000000 109.901508 835.577949 0.000000 835.438883
1681 22 1051.629421 1051.629421 117.736363 0.000000 117.736363 933.893057 0.000000 926.753527
1681 21 943.490522 943.490522 108.725945 0.000000 108.725945 834.764578 0.000000 835.577949
1741 22 1047.588107 1047.588107 117.481609 0.000000 117.481609 930.106498 0.000000 933.893057
1741 21 953.501072 953.501072 108.143815 0.000000 108.143815 845.357257 0.000000 834.764578
1801 22 1054.920453 1054.920453 115.135052 0.000000 115.135052 939.785401 930.106498 0.000000
1801 21 955.485493 955.485493 109.967469 0.000000 109.967469 845.518024 0.000000 845.357257
1861 22 1060.324149 1060.324149 114.972500 0.000000 114.972500 945.351649 0.000000 939.785401
1861 21 956.491356 956.491356 109.507545 0.000000 109.507545 846.983811 0.000000 845.518024
1921 22 1070.976106 1070.976106 116.850906 0.000000 116.850906 954.125200 0.000000 945.351649
1921 21 951.622972 951.622972 109.098406 0.000000 109.098406 842.524567 0.000000 846.983811
1981 22 1071.547523 1071.547523 118.140865 0.000000 118.140865 953.406658 0.000000 954.125200
