IT ID Agent Writeoff_Type Bank Amount
1 805 Household Mortgage 22 153.011479
1 782 Household Mortgage 22 153.410987
1 22 Bank Mortgages 22 153.011479
1 22 Bank Mortgages 22 153.410987
241 7 Firm Insolvency 22 2982.441726
241 22 Bank Loans 22 2982.441726
301 5 Firm Insolvency 22 1813.466240
301 5 Firm Insolvency 21 218.319950
301 10 Firm Insolvency 22 1297.975885
301 10 Firm Insolvency 21 164.013259
301 8 Firm Insolvency 22 1668.183281
301 8 Firm Insolvency 21 213.374431
301 21 Bank Loans 21 218.319950
301 21 Bank Loans 21 164.013259
301 21 Bank Loans 21 213.374431
301 22 Bank Loans 22 1813.466240
301 22 Bank Loans 22 1297.975885
301 22 Bank Loans 22 1668.183281
361 13 Firm Illiquidity 22 2785.854113
361 13 Firm Illiquidity 21 0.000000
361 21 Bank Loans 21 0.000000
361 22 Bank Loans 22 2785.854113
601 769 Household Mortgage 21 133.888903
601 21 Bank Mortgages 21 133.888903
641 769 Household Mortgage 21 45.491838
641 21 Bank Mortgages 21 45.491838
721 6 Firm Illiquidity 22 2071.032156
721 6 Firm Illiquidity 21 213.223363
721 21 Bank Loans 21 213.223363
721 22 Bank Loans 22 2071.032156
1561 13 Firm Illiquidity 21 547.391911
1561 3 Firm Illiquidity 22 908.305647
1561 3 Firm Illiquidity 21 429.768163
1561 21 Bank Loans 21 547.391911
1561 21 Bank Loans 21 429.768163
1561 22 Bank Loans 22 908.305647
1801 2 Firm Illiquidity 22 776.666667
1801 2 Firm Illiquidity 21 483.106946
1801 21 Bank Loans 21 483.106946
1801 22 Bank Loans 22 776.666667
2281 1 Firm Illiquidity 21 933.014740
2281 21 Bank Loans 21 933.014740
2761 14 Firm Insolvency 21 2291.393152
2761 21 Bank Loans 21 2291.393152
2821 15 Firm Illiquidity 22 1544.833333
2821 15 Firm Illiquidity 21 319.441667
2821 21 Bank Loans 21 319.441667
2821 22 Bank Loans 22 1544.833333
2881 9 Firm Illiquidity 21 2348.504393
2881 21 Bank Loans 21 2348.504393
2941 2 Firm Illiquidity 21 210.000000
2941 21 Bank Loans 21 210.000000
4021 7 Firm Illiquidity 22 579.585584
4021 7 Firm Illiquidity 21 783.045745
4021 21 Bank Loans 21 783.045745
4021 22 Bank Loans 22 579.585584
4141 3 Firm Illiquidity 21 270.000000
4141 21 Bank Loans 21 270.000000
4441 8 Firm Illiquidity 22 167.245261
4441 8 Firm Illiquidity 21 111.936295
4441 1 Firm Illiquidity 21 335.000000
4441 21 Bank Loans 21 111.936295
4441 21 Bank Loans 21 335.000000
4441 22 Bank Loans 22 167.245261
5221 6 Firm Illiquidity 21 126.974688
5221 3 Firm Illiquidity 21 335.000000
5221 21 Bank Loans 21 126.974688
5221 21 Bank Loans 21 335.000000
5581 11 Firm Insolvency 21 2605.738269
5581 21 Bank Loans 21 2605.738269
5881 2 Firm Illiquidity 21 10865.674548
5881 21 Bank Loans 21 10865.674548
5941 4 Firm Illiquidity 21 2064.920225
5941 3 Firm Illiquidity 21 938.982723
5941 21 Bank Loans 21 2064.920225
5941 21 Bank Loans 21 938.982723
6301 1 Firm Illiquidity 21 678.668122
6301 21 Bank Loans 21 678.668122
6721 5 Firm Illiquidity 22 406.097985
6721 5 Firm Illiquidity 21 951.688251
6721 10 Firm Illiquidity 22 290.401985
6721 10 Firm Illiquidity 21 1020.967251
6721 21 Bank Loans 21 951.688251
6721 21 Bank Loans 21 1020.967251
6721 22 Bank Loans 22 406.097985
6721 22 Bank Loans 22 290.401985
7141 15 Firm Illiquidity 21 251.740201
7141 21 Bank Loans 21 251.740201
