IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT LIQUIDITY_EQUITYFUND
1 0.005000 0.000000 1073.113250 0.000000 1073.113250 217856.900000 26177.583333 191679.316667 0.000000 214622.650000 0.000000 1161.136750 1073.113250 1000.000000
61 0.005000 0.000282 239.599146 0.000000 239.599146 215166.229588 23711.983333 190480.368256 973.877999 214622.650000 0.000000 -1669.897557 1213.477145 1000.000000
121 0.005000 0.007127 238.100460 0.000000 238.100460 216275.771264 23538.627554 190467.581434 2269.562276 214622.650000 0.000000 -880.663473 1533.784737 1000.000000
181 0.030249 0.025166 238.084477 0.000000 238.084477 216341.846937 23800.402540 190041.131669 2500.312728 214622.650000 0.000000 250.362008 468.834928 1000.000000
241 0.103821 0.069214 1437.139098 0.000000 1437.139098 216203.471893 23719.203069 192167.809290 316.459534 214622.650000 0.000000 1327.535989 -746.714096 1000.000000
301 0.077508 0.108755 4987.757838 0.000000 4987.757838 218729.824228 23502.485629 195227.338598 0.000000 214622.650000 0.000000 -1564.124077 4671.298304 1000.000000
361 0.005000 0.093051 3782.916475 0.000000 3782.916475 215199.037016 21726.784347 193472.252669 0.000000 214622.650000 0.000000 -4206.529459 3782.916475 1000.000000
421 0.005000 0.024599 241.840316 0.000000 241.840316 210374.669914 21424.710769 188949.959145 0.000000 214622.650000 0.000000 -5489.820402 241.840316 1000.000000
481 0.005000 -0.012094 236.187449 0.000000 236.187449 213188.817254 23953.834712 187451.242853 1783.739688 214622.650000 0.000000 -4453.759883 2019.927137 1000.000000
541 0.005000 -0.002065 234.314054 0.000000 234.314054 213802.482920 26040.016914 183585.462917 4177.003089 214622.650000 0.000000 -3545.631019 2627.577454 97.886485
601 0.005000 0.038705 229.481829 0.000000 229.481829 213636.384231 26362.387442 181899.090307 5374.906482 214622.650000 0.000000 -2511.537475 1427.385222 97.886485
661 0.027576 0.062551 227.373863 0.000000 227.373863 213742.858514 26780.883459 181456.638533 5505.336522 214622.650000 0.000000 -1335.481874 357.803903 97.886485
721 0.055279 0.080603 1250.969034 0.000000 1250.969034 213384.480671 26978.906390 182409.833909 3995.740372 214622.650000 0.000000 -1077.428698 -258.627115 97.886485
781 0.005000 0.085032 2520.869349 0.000000 2520.869349 213019.954432 27770.096980 181958.180041 3291.677411 214622.650000 0.000000 -3445.239871 1816.806387 25.737916
841 0.005000 0.039331 227.447725 0.000000 227.447725 213520.858294 27777.956464 179681.339798 6061.562032 214622.650000 0.000000 -4124.861969 2997.332347 25.737916
901 0.005000 0.028037 224.601675 0.000000 224.601675 213557.564933 27749.862626 177698.290987 8109.411320 214622.650000 0.000000 -3363.273945 2272.450962 25.737916
961 0.005000 0.018649 222.122864 0.000000 222.122864 213410.705768 28298.249503 175786.899075 9325.557190 214622.650000 0.000000 -2675.950882 1438.268734 25.737916
1021 0.005000 0.057137 219.733624 0.000000 219.733624 213576.538185 28962.555410 174595.622006 10018.360768 214622.650000 0.000000 -1984.386933 912.537202 25.737916
1081 0.037836 0.066058 218.244528 0.000000 218.244528 213386.948281 29400.391896 174154.236288 9832.320098 214622.650000 0.000000 -1293.643492 32.203857 25.737916
1141 0.005000 0.081851 1647.343903 0.000000 1647.343903 213043.585528 30052.820719 174323.745605 8667.019204 214622.650000 0.000000 -2086.845397 482.043008 25.737916
1201 0.005000 0.052224 217.904682 0.000000 217.904682 213074.452537 30889.589143 171172.597692 11012.265702 214622.650000 0.000000 -4137.086560 2563.151180 25.737916
1261 0.005000 0.056618 213.965747 0.000000 213.965747 212709.267181 30584.993382 169870.090758 12254.183041 214622.650000 0.000000 -3395.003821 1455.883086 25.737916
1321 0.005000 0.040368 212.337613 0.000000 212.337613 213384.735093 32775.473339 167164.597120 13444.664634 214622.650000 0.000000 -2666.472030 1402.819207 25.737916
1381 0.005000 0.062033 208.955746 0.000000 208.955746 213386.552375 33296.221865 166226.457561 13863.872949 214622.650000 0.000000 -1889.999602 628.164061 25.737916
1441 0.005000 0.062967 207.783072 0.000000 207.783072 213205.937647 33935.196489 165003.625140 14267.116018 214622.650000 0.000000 -2053.476411 611.026141 25.737916
1501 0.005000 0.061852 206.254531 0.000000 206.254531 213131.077632 34270.672693 164280.270786 14580.134153 214622.650000 0.000000 -2036.582951 519.272667 25.737916
1561 0.005000 0.060203 205.350338 0.000000 205.350338 213851.630235 27824.408223 171819.922617 14207.299394 214622.650000 0.000000 -629.273261 -167.484420 25.737916
1621 0.005000 0.053191 214.774903 0.000000 214.774903 211864.637298 26151.464275 171947.396265 13765.776758 214622.650000 0.000000 -2557.002885 -226.747733 25.737916
1681 0.009297 0.062032 214.934245 0.000000 214.934245 213951.213567 24776.649564 175718.865810 13455.698193 214622.650000 0.000000 -602.030029 -95.144319 25.737916
1741 0.005000 0.057377 408.433397 0.000000 408.433397 211789.352555 21433.364302 179055.579080 11300.409173 214622.650000 0.000000 -1112.179738 -1746.855623 25.737916
1801 0.005000 0.055552 223.819474 0.000000 223.819474 213472.795102 24495.065917 176997.280483 11980.448702 214622.650000 0.000000 -2079.451817 903.859003 25.737916
1861 0.005000 0.055504 221.246601 0.000000 221.246601 213220.581180 23303.058670 178819.735955 11097.786555 214622.650000 0.000000 -766.391190 -661.415546 25.737916
1921 0.042627 0.055918 223.524670 0.000000 223.524670 212502.115667 22338.913757 180864.829432 9298.372478 214622.650000 0.000000 -570.382842 -1575.889407 25.737916
1981 0.044097 0.076065 1927.420663 0.000000 1927.420663 212575.373034 22307.662482 184031.079870 6236.630682 214622.650000 0.000000 -938.693749 -1134.321133 25.737916
2041 0.005000 0.077830 2028.794595 0.000000 2028.794595 211597.895878 23639.328391 183177.312756 4781.254730 214622.650000 0.000000 -3623.910681 573.418643 25.737916
2101 0.005000 0.051979 228.971641 0.000000 228.971641 213770.591945 24308.061800 182128.157032 7334.373114 214622.650000 0.000000 -3659.885996 2782.090025 25.737916
2161 0.005000 0.039475 227.660196 0.000000 227.660196 213133.367275 23444.041825 181924.411814 7764.913637 214622.650000 0.000000 -2173.221360 658.200719 25.737916
2221 0.005000 0.042801 227.405515 0.000000 227.405515 213541.457904 24142.350353 180803.592450 8595.515101 214622.650000 0.000000 -2164.936991 1058.006979 25.737916
2281 0.009203 0.060302 226.004491 0.000000 226.004491 212503.622411 24513.149401 179943.704328 8046.768682 214622.650000 0.000000 -1822.023577 -322.741928 25.737916
2341 0.008911 0.063857 414.002861 0.000000 414.002861 213673.805352 24202.828791 180575.682509 8895.294052 214622.650000 0.000000 -2237.110795 1262.528231 25.737916
2401 0.016198 0.062465 402.278624 0.000000 402.278624 211931.668365 23710.367437 180385.504568 7835.796359 214622.650000 0.000000 -2059.500483 -657.219069 25.737916
2461 0.012677 0.062618 730.460962 0.000000 730.460962 213630.967952 24245.143275 181450.002916 7935.821761 214622.650000 0.000000 -1847.906328 830.486363 25.737916
2521 0.033411 0.061857 575.076678 0.000000 575.076678 213276.355248 23379.246834 183121.931448 6775.176965 214622.650000 0.000000 -786.464551 -585.568117 25.737916
2581 0.005000 0.070056 1529.567948 0.000000 1529.567948 212459.106758 23148.461569 183520.606817 5790.038372 214622.650000 0.000000 -2733.710513 544.429355 25.737916
2641 0.035686 0.058374 229.400759 0.000000 229.400759 211904.354675 22900.705774 183875.267625 5128.381276 214622.650000 0.000000 -2311.776903 -432.256338 25.737916
2701 0.080281 0.075187 1640.437171 0.000000 1640.437171 212865.193869 23554.798169 186321.925875 2988.469826 214622.650000 0.000000 -1283.719768 -499.474279 25.737916
2761 0.005000 0.074025 3739.517672 0.000000 3739.517672 211987.267458 23305.580698 187865.568062 816.118698 214622.650000 0.000000 -4228.287002 1567.166544 25.737916
2821 0.005000 0.049351 234.831960 0.000000 234.831960 212598.540531 23165.834380 184204.193850 5228.512301 214622.650000 0.000000 -6697.072948 4647.225563 25.737916
2881 0.005000 0.037237 230.255242 0.000000 230.255242 212201.042828 21175.299408 183727.157690 7298.585730 214622.650000 0.000000 -4747.673760 2300.328672 25.737916
2941 0.005000 0.031631 229.658947 0.000000 229.658947 212942.047953 23828.681065 179120.156114 9993.210774 214622.650000 0.000000 -4630.623955 2924.283991 25.737916
3001 0.005000 0.058321 223.900195 0.000000 223.900195 213045.854011 23518.644451 178150.162195 11377.047366 214622.650000 0.000000 -3210.270692 1607.736787 25.737916
3061 0.041676 0.072784 222.687703 0.000000 222.687703 212988.539645 22976.902495 178386.107702 11625.529448 214622.650000 0.000000 -2131.018056 471.169785 25.737916
3121 0.069290 0.078694 1858.614025 0.000000 1858.614025 212298.812860 22392.043728 181164.103232 8742.665900 214622.650000 0.000000 -1325.325534 -1024.249523 25.737916
3181 0.005000 0.079504 3138.228757 0.000000 3138.228757 211579.538265 22194.489099 182456.969991 6928.079176 214622.650000 0.000000 -4392.491683 1323.642033 25.737916
3241 0.005000 0.051050 228.071212 0.000000 228.071212 212559.377381 21480.045168 180900.711304 10178.620910 214622.650000 0.000000 -5567.623481 3478.612946 25.737916
3301 0.005000 0.042650 226.125889 0.000000 226.125889 212338.543655 21166.372185 179415.103516 11757.067953 214622.650000 0.000000 -4114.417194 1804.572932 25.737916
3361 0.005000 0.037185 224.268879 0.000000 224.268879 212511.318793 21997.770484 177763.939104 12749.609205 214622.650000 0.000000 -3353.879255 1216.810131 25.737916
3421 0.051083 0.067389 222.204924 0.000000 222.204924 212120.241689 21696.897851 178538.301625 11885.042213 214622.650000 0.000000 -1885.784159 -642.362068 25.737916
3481 0.073317 0.083878 2280.076074 0.000000 2280.076074 212705.869272 21110.577199 182575.314410 9019.977663 214622.650000 0.000000 -1357.530167 -584.988477 25.737916
3541 0.005000 0.082609 3346.473707 0.000000 3346.473707 211939.923844 21032.852612 183386.887383 7520.183849 214622.650000 0.000000 -4555.143966 1846.679894 25.737916
