IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
1 1 5.000000 20 28 1 2 1 19 100.000000
1 2 5.000000 20 20 1 2 1 14 100.000000
1 3 5.000000 20 28 1 2 1 19 100.000000
21 3 5.050000 28 29 2 2 2 20 101.168333
21 1 5.050000 28 28 2 2 2 19 101.168333
21 2 5.000000 20 19 2 1 1 13 101.168333
41 1 5.050000 28 20 2 2 2 14 102.433468
41 3 5.054670 29 18 2 2 2 12 102.433468
41 2 5.000000 19 25 1 2 2 17 102.433468
61 2 5.053165 25 20 1 3 2 14 103.586793
61 1 5.050000 20 22 2 2 2 15 103.586793
61 3 5.054670 18 19 2 1 1 13 103.586793
81 3 5.055588 19 28 1 1 1 19 104.826524
81 1 5.055588 22 26 2 2 2 18 104.826524
81 2 5.053165 20 29 3 2 2 20 104.826524
101 1 5.060160 26 20 2 2 2 14 106.070839
101 2 5.060160 29 25 2 2 2 17 106.070839
101 3 5.060160 28 28 1 1 1 19 106.070839
121 1 5.060160 20 19 2 2 2 13 107.369286
121 2 5.060160 25 29 2 1 1 20 107.369286
141 3 5.060160 1 29 0 0 0 20 108.768714
141 2 5.064690 29 22 1 1 1 15 108.768714
141 1 5.060160 19 20 2 2 2 14 108.768714
161 2 5.064690 22 15 1 2 2 10 110.103208
161 3 5.065833 29 16 0 1 1 11 110.103208
161 1 5.065833 20 29 2 1 1 20 110.103208
181 1 5.071790 29 29 1 2 2 20 111.348173
181 2 5.064690 15 13 2 1 1 9 111.348173
181 3 5.065833 16 15 1 2 2 10 111.348173
201 2 5.064690 13 26 1 1 1 18 112.516931
201 1 5.071790 29 29 2 1 1 20 112.516931
201 3 5.065833 15 28 2 1 1 19 112.516931
221 2 5.075086 26 26 1 1 1 18 113.647604
221 3 5.075086 28 22 1 1 1 15 113.647604
221 1 5.071790 28 29 1 1 1 20 113.647604
241 1 5.078161 29 22 1 1 1 15 114.703715
241 2 5.075086 25 13 1 1 1 9 114.703715
