IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT EQUITY
1 3 0 0 0 0.000000 0 0 828.400000 90.000000 1 100.000000 0.560000 1140 1140 666.666667 161.733333
1 2 0 0 0 0.000000 0 0 828.400000 90.000000 1 100.000000 0.560000 1140 1140 666.666667 161.733333
1 1 0 0 0 0.000000 0 0 828.400000 90.000000 1 100.000000 0.560000 1140 1140 666.666667 161.733333
61 3 0 0 0 0.000000 0 0 728.400000 90.000000 0 103.568189 0.560000 1140 1140 666.666667 61.733333
61 1 0 0 0 0.000000 0 0 728.400000 90.000000 0 103.568189 0.560000 1140 1140 666.666667 61.733333
61 2 0 0 0 0.000000 0 0 831.968189 90.000000 1 103.568189 0.560000 1140 1140 666.666667 165.301522
121 3 0 0 0 0.000000 0 0 728.400000 90.000000 0 107.324190 0.560000 1140 1140 666.666667 61.733333
121 1 0 0 0 0.000000 0 0 835.724190 90.000000 1 107.324190 0.560000 1140 1140 666.666667 169.057524
121 2 0 0 0 0.000000 0 0 728.400000 90.000000 0 107.324190 0.560000 1140 1140 666.666667 61.733333
181 2 0 0 0 0.000000 0 0 728.400000 90.000000 0 111.162083 0.560000 1140 1140 666.666667 61.733333
181 1 0 0 0 0.000000 0 0 728.400000 90.000000 0 111.162083 0.560000 1140 1140 666.666667 61.733333
181 3 0 0 0 0.000000 0 0 728.400000 90.000000 0 111.162083 0.560000 1140 1140 666.666667 61.733333
241 2 0 0 0 0.000000 0 0 728.400000 90.000000 0 114.874645 0.560000 1140 1140 666.666667 61.733333
241 1 0 0 0 0.000000 0 0 728.400000 90.000000 0 114.874645 0.560000 1140 1140 666.666667 61.733333
241 3 0 0 0 0.000000 0 0 843.274645 90.000000 1 114.874645 0.560000 1140 1140 666.666667 176.607978
301 3 0 0 0 0.000000 0 0 728.400000 90.000000 0 117.868060 0.560000 1140 1140 666.666667 61.733333
301 1 0 0 0 0.000000 0 0 728.400000 90.000000 0 117.868060 0.560000 1140 1140 666.666667 61.733333
301 2 0 0 0 0.000000 0 0 678.661633 40.261633 0 117.868060 0.560000 1140 1140 666.666667 11.994967
361 1 1 0 1 0.000000 0 0 874.136120 0.000000 2 117.868060 0.560000 1140 1140 666.666667 207.469454
361 3 1 0 1 0.000000 0 0 1109.872241 -0.000000 4 117.868060 0.560000 1140 1140 666.666667 443.205574
361 2 1 0 0 256.077267 0 1 876.902163 -232.970078 4 117.868060 0.560000 1140 1140 0.000000 876.902163
421 2 1 0 1 0.000000 0 0 1463.476422 0.000000 7 117.868060 0.560000 1140 1140 0.000000 1463.476422
421 1 1 0 1 0.000000 0 0 1345.608361 0.000000 6 117.868060 0.560000 1140 1140 666.666667 678.941695
421 3 1 0 1 0.000000 0 0 1463.476422 0.000000 7 117.868060 0.560000 1140 1140 666.666667 796.809755
481 3 1 0 1 0.000000 0 0 1934.948663 0.000000 11 117.868060 0.560000 1140 1140 666.666667 1268.281996
481 1 1 0 1 0.000000 0 0 1699.212542 0.000000 9 117.868060 0.560000 1140 1140 666.666667 1032.545875
481 2 1 0 1 0.000000 0 0 1934.948663 0.000000 11 117.868060 0.560000 1140 1140 0.000000 1934.948663
541 2 1 0 1 0.000000 0 0 2288.552843 0.000000 14 117.868060 0.560000 1140 1140 0.000000 2288.552843
541 1 1 0 1 0.000000 0 0 2288.552843 0.000000 14 117.868060 0.560000 1140 1140 666.666667 1621.886177
541 3 1 0 1 0.000000 0 0 2406.420903 0.000000 15 117.868060 0.560000 1140 1140 666.666667 1739.754237
601 2 1 0 1 0.000000 0 0 2642.157024 0.000000 17 117.868060 0.560000 1140 1140 0.000000 2642.157024
601 1 1 0 1 0.000000 0 0 2760.025084 0.000000 18 117.868060 0.560000 1140 1140 666.666667 2093.358417
601 3 1 0 0 428.146071 0 1 2452.247074 -425.646071 19 117.868060 0.560000 1140 1140 0.000000 2452.247074
661 2 1 0 1 0.000000 0 0 3231.497325 0.000000 22 117.868060 0.560000 1140 1140 0.000000 3231.497325
661 1 1 0 1 0.000000 0 0 2877.893144 0.000000 19 117.868060 0.560000 1140 1140 666.666667 2211.226478
661 3 1 0 0 807.413942 0 1 2424.083383 -807.413942 22 117.868060 0.560000 1140 1140 0.000000 2424.083383
721 1 1 0 1 0.000000 0 0 3349.365385 -0.000000 23 117.868060 0.560000 1140 1140 666.666667 2682.698719
721 2 1 0 1 0.000000 0 0 3585.101506 0.000000 25 117.868060 0.560000 1140 1140 0.000000 3585.101506
721 3 1 0 0 1097.202760 0 1 2605.766806 -1097.202760 26 117.868060 0.560000 1140 1140 0.000000 2605.766806
781 1 1 0 1 0.000000 0 0 3938.705686 -0.000000 28 117.868060 0.560000 1140 1140 666.666667 3272.039020
781 2 1 0 1 0.000000 0 0 3938.705686 0.000000 28 117.868060 0.560000 1140 1140 0.000000 3938.705686
781 3 1 0 0 1525.699030 0 1 2530.874717 -1525.699030 29 117.868060 0.560000 1140 1140 0.000000 2530.874717
841 1 1 0 1 0.000000 0 0 4056.573747 0.000000 29 117.868060 0.560000 1140 1140 666.666667 3389.907080
841 2 1 0 1 0.000000 0 0 4528.045988 0.000000 33 117.868060 0.560000 1140 1140 0.000000 4528.045988
841 3 1 0 0 1866.148121 0 1 2779.765927 -1866.148121 34 117.868060 0.560000 1140 1140 0.000000 2779.765927
901 1 1 0 1 0.000000 0 0 4763.782108 0.000000 35 117.868060 0.560000 1140 1140 666.666667 4097.115441
901 2 1 0 1 0.000000 0 0 4999.518229 0.000000 37 117.868060 0.560000 1140 1140 0.000000 4999.518229
901 3 1 0 0 2224.762253 0 1 2656.887916 -2224.762253 36 117.868060 0.560000 1140 1140 0.000000 2656.887916
961 2 1 0 1 0.000000 0 0 5353.122409 0.000000 40 117.868060 0.560000 1140 1140 0.000000 5353.122409
961 3 1 0 0 2674.602115 0 1 2678.520294 -2674.602115 40 117.868060 0.560000 1140 1140 0.000000 2678.520294
961 1 1 0 0 335.570526 0 1 4784.315763 -333.070526 38 117.868060 0.560000 1140 1140 0.000000 4784.315763
1021 2 1 0 1 0.000000 0 0 5706.726590 0.000000 43 117.868060 0.560000 1140 1140 0.000000 5706.726590
1021 1 1 0 0 643.292077 0 1 4945.566453 -643.292077 42 117.868060 0.560000 1140 1140 0.000000 4945.566453
1021 3 1 0 0 3094.987690 0 1 2729.606960 -3094.987690 44 117.868060 0.560000 1140 1140 0.000000 2729.606960
1081 2 1 0 1 0.000000 0 0 6060.330771 0.000000 46 117.868060 0.560000 1140 1140 0.000000 6060.330771
1081 3 1 0 0 3502.551058 0 1 2793.515833 -3502.551058 48 117.868060 0.560000 1140 1140 0.000000 2793.515833
1081 1 1 0 0 1014.905772 0 1 4809.688878 -1014.905772 44 117.868060 0.560000 1140 1140 0.000000 4809.688878
1141 2 1 0 1 0.000000 0 0 6649.671072 0.000000 51 117.868060 0.560000 1140 1140 0.000000 6649.671072
1141 1 1 0 0 1359.164043 0 1 4819.034788 -1359.164043 47 117.868060 0.560000 1140 1140 0.000000 4819.034788
1141 3 1 0 0 3878.685095 0 1 3006.722097 -3878.685095 53 117.868060 0.560000 1140 1140 0.000000 3006.722097
1201 3 1 0 0 4277.356085 0 1 2843.787228 -4277.356085 55 117.868060 0.560000 1140 1140 0.000000 2843.787228
1201 1 1 0 0 1712.085903 0 1 4819.717108 -1712.085903 50 117.868060 0.560000 1140 1140 0.000000 4819.717108
1201 2 1 0 0 522.847200 0 1 6598.296112 -522.847200 55 117.868060 0.560000 1140 1140 0.000000 6598.296112
1261 2 1 0 1 0.000000 0 0 7710.483614 0.000000 60 117.868060 0.560000 1140 1140 0.000000 7710.483614
1261 3 1 0 0 4656.420305 0 1 2818.327188 -4656.420305 58 117.868060 0.560000 1140 1140 0.000000 2818.327188
1261 1 1 0 0 2163.041613 0 1 4722.365579 -2163.041613 53 117.868060 0.560000 1140 1140 0.000000 4722.365579
1321 2 1 0 1 0.000000 0 0 8064.087795 0.000000 63 117.868060 0.560000 1140 1140 0.000000 8064.087795
1321 3 1 0 0 5013.931621 0 1 3050.156173 -5013.931621 63 117.868060 0.560000 1140 1140 0.000000 3050.156173
1321 1 1 0 0 2616.555261 0 1 4622.456112 -2616.555261 56 117.868060 0.560000 1140 1140 0.000000 4622.456112
1381 2 1 0 1 0.000000 0 0 8417.691975 0.000000 66 117.868060 0.560000 1140 1140 0.000000 8417.691975
1381 1 1 0 0 3009.853997 0 1 4700.629617 -3009.853997 60 117.868060 0.560000 1140 1140 0.000000 4700.629617
1381 3 1 0 0 5561.899333 0 1 2737.924582 -5561.899333 65 117.868060 0.560000 1140 1140 0.000000 2737.924582
1441 2 1 0 1 0.000000 0 0 8889.164216 0.000000 70 117.868060 0.560000 1140 1140 0.000000 8889.164216
1441 3 1 0 0 5949.228558 0 1 2704.199538 -5949.228558 68 117.868060 0.560000 1140 1140 0.000000 2704.199538
1441 1 1 0 0 3513.170977 0 1 4668.784877 -3513.170977 64 117.868060 0.560000 1140 1140 0.000000 4668.784877
1501 2 1 0 1 0.000000 0 0 9124.900337 0.000000 72 117.868060 0.560000 1140 1140 0.000000 9124.900337
1501 1 1 0 0 4056.140385 0 1 4715.155771 -4056.140385 69 117.868060 0.560000 1140 1140 0.000000 4715.155771
1501 3 1 0 0 6365.047610 0 1 2877.720787 -6365.047610 73 117.868060 0.560000 1140 1140 0.000000 2877.720787
1561 2 1 0 1 0.000000 0 0 9478.504517 0.000000 75 117.868060 0.560000 1140 1140 0.000000 9478.504517
1561 1 1 0 0 4515.286192 0 1 4609.614145 -4515.286192 72 117.868060 0.560000 1140 1140 0.000000 4609.614145
1561 3 1 0 0 6974.912465 0 1 2739.328173 -6974.912465 77 117.868060 0.560000 1140 1140 0.000000 2739.328173
1621 2 1 0 1 0.000000 0 0 9832.108698 0.000000 78 117.868060 0.560000 1140 1140 0.000000 9832.108698
1621 1 1 0 0 4991.619663 0 1 4840.489035 -4991.619663 78 117.868060 0.560000 1140 1140 0.000000 4840.489035
1621 3 1 0 0 7333.656498 0 1 2852.056381 -7333.656498 81 117.868060 0.560000 1140 1140 0.000000 2852.056381
1681 2 1 0 1 0.000000 0 0 10303.580939 0.000000 82 117.868060 0.560000 1140 1140 0.000000 10303.580939
1681 3 1 0 0 7854.473410 0 1 2684.843649 -7854.473410 84 117.868060 0.560000 1140 1140 0.000000 2684.843649
1681 1 1 0 0 5402.593031 0 1 4547.383727 -5402.593031 79 117.868060 0.560000 1140 1140 0.000000 4547.383727
1741 2 1 0 1 0.000000 0 0 10775.053180 0.000000 86 117.868060 0.560000 1140 1140 0.000000 10775.053180
1741 3 1 0 0 8189.816729 0 1 2703.104511 -8189.816729 87 117.868060 0.560000 1140 1140 0.000000 2703.104511
1741 1 1 0 0 5893.759320 0 1 4645.557739 -5893.759320 84 117.868060 0.560000 1140 1140 0.000000 4645.557739
1801 2 1 0 1 0.000000 0 0 11246.525421 0.000000 90 117.868060 0.560000 1140 1140 0.000000 11246.525421
1801 3 1 0 0 8725.017957 0 1 2875.111644 -8725.017957 93 117.868060 0.560000 1140 1140 0.000000 2875.111644
1801 1 1 0 0 6395.815607 0 1 4497.105633 -6395.815607 87 117.868060 0.560000 1140 1140 0.000000 4497.105633
1861 2 1 0 1 0.000000 0 0 11600.129601 0.000000 93 117.868060 0.560000 1140 1140 0.000000 11600.129601
1861 3 1 0 0 9096.163396 0 1 2739.702326 -9096.163396 95 117.868060 0.560000 1140 1140 0.000000 2739.702326
1861 1 1 0 0 6815.110045 0 1 4431.415376 -6815.110045 90 117.868060 0.560000 1140 1140 0.000000 4431.415376
1921 2 1 0 1 0.000000 0 0 12071.601842 0.000000 97 117.868060 0.560000 1140 1140 0.000000 12071.601842
1921 1 1 0 0 7143.549524 0 1 4574.448137 -7143.549524 94 117.868060 0.560000 1140 1140 0.000000 4574.448137
1921 3 1 0 0 9669.864179 0 1 2401.737664 -9669.864179 97 117.868060 0.560000 1140 1140 0.000000 2401.737664
1981 2 1 0 1 0.000000 0 0 12543.074083 0.000000 101 117.868060 0.560000 1140 1140 0.000000 12543.074083
1981 1 1 0 0 7540.810856 0 1 4530.790987 -7540.810856 97 117.868060 0.560000 1140 1140 0.000000 4530.790987
1981 3 1 0 0 10141.399068 0 1 2519.543075 -10141.399068 102 117.868060 0.560000 1140 1140 0.000000 2519.543075
2041 2 1 0 1 0.000000 0 0 13014.546324 0.000000 105 117.868060 0.560000 1140 1140 0.000000 13014.546324
2041 3 1 0 0 10600.710283 0 1 2413.836041 -10600.710283 105 117.868060 0.560000 1140 1140 0.000000 2413.836041
2041 1 1 0 0 8008.508336 0 1 4298.829627 -8008.508336 99 117.868060 0.560000 1140 1140 0.000000 4298.829627
2101 2 1 0 1 0.000000 0 0 13250.282445 0.000000 107 117.868060 0.560000 1140 1140 0.000000 13250.282445
2101 3 1 0 0 11077.117376 0 1 2291.033129 -11077.117376 108 117.868060 0.560000 1140 1140 0.000000 2291.033129
