IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1 1 0.000000 0.000000
1 2 0.000000 0.000000
1 3 0.000000 0.000000
61 2 196.768360 196.768360
61 1 214.968947 214.968947
61 3 180.427742 180.427742
121 3 37.298626 37.298626
121 1 278.434082 278.434082
121 2 243.105096 243.105096
181 3 121.801047 121.801047
181 2 0.000000 0.000000
181 1 107.544221 107.544221
241 3 131.655275 131.655275
241 2 359.975362 359.975362
241 1 6.683703 6.683703
301 3 36.057644 36.057644
301 1 293.578711 293.578711
301 2 0.000000 0.000000
361 2 68.615429 68.615429
361 3 220.680576 220.680576
361 1 13.853392 13.853392
421 1 423.160279 423.160279
421 2 52.695629 52.695629
421 3 0.000000 0.000000
481 2 226.635993 226.635993
481 3 203.571344 203.571344
481 1 0.000000 0.000000
541 2 0.000000 0.000000
541 3 72.468312 72.468312
541 1 0.000000 0.000000
601 1 90.444471 90.444471
601 2 86.095727 86.095727
601 3 169.646617 169.646617
661 2 362.918733 362.918733
661 3 34.036556 34.036556
661 1 147.492775 147.492775
721 1 64.862907 64.862907
721 3 48.435806 48.435806
721 2 0.000000 0.000000
781 3 113.321256 113.321256
781 2 187.938432 187.938432
781 1 76.111478 76.111478
841 1 21.634149 21.634149
841 2 0.000000 0.000000
841 3 118.478257 118.478257
901 2 0.000000 0.000000
901 1 0.000000 0.000000
901 3 0.000000 0.000000
961 2 359.864421 359.864421
961 1 65.343872 65.343872
961 3 0.000000 0.000000
1021 2 71.748396 71.748396
1021 3 36.951897 36.951897
1021 1 171.118037 171.118037
1081 1 196.692610 196.692610
1081 3 272.979178 272.979178
1081 2 0.000000 0.000000
1141 1 147.222029 147.222029
1141 3 299.843014 299.843014
1141 2 307.560087 307.560087
1201 3 247.123089 247.123089
1201 1 223.967821 223.967821
1201 2 78.770470 78.770470
1261 1 90.113189 90.113189
1261 3 0.750527 0.750527
1261 2 188.905629 188.905629
1321 1 111.332978 111.332978
1321 3 11.589962 11.589962
1321 2 0.000000 0.000000
1381 1 185.012535 185.012535
1381 2 324.142578 324.142578
1381 3 81.660329 81.660329
1441 3 95.449459 95.449459
1441 1 130.115917 130.115917
1441 2 0.000000 0.000000
1501 2 195.891583 195.891583
1501 1 172.269814 172.269814
1501 3 0.000000 0.000000
1561 2 99.334153 99.334153
1561 3 128.530421 128.530421
1561 1 376.525097 376.525097
1621 2 154.989867 154.989867
1621 1 120.496488 120.496488
1621 3 0.000000 0.000000
1681 2 222.647222 222.647222
1681 3 148.506323 148.506323
1681 1 0.000000 0.000000
1741 2 119.367884 119.367884
1741 1 25.968610 25.968610
1741 3 181.431703 181.431703
1801 2 465.209339 465.209339
1801 1 258.092767 258.092767
1801 3 597.021159 597.021159
1861 1 52.307997 52.307997
1861 2 112.702481 112.702481
1861 3 0.000000 0.000000
1921 3 426.098000 426.098000
1921 1 248.467319 248.467319
1921 2 110.187866 110.187866
1981 1 55.794089 55.794089
1981 3 0.000000 0.000000
1981 2 0.000000 0.000000
2041 1 512.223195 512.223195
2041 3 391.916985 391.916985
2041 2 27.731985 27.731985
2101 1 97.755181 97.755181
2101 3 0.000000 0.000000
2101 2 0.000000 0.000000
2161 3 162.448368 162.448368
2161 1 0.000000 0.000000
2161 2 38.415855 38.415855
2221 3 106.889736 106.889736
2221 2 413.125051 413.125051
2221 1 0.000000 0.000000
2281 3 222.057061 222.057061
2281 2 133.498101 133.498101
2281 1 108.898851 108.898851
2341 1 20.715969 20.715969
2341 3 0.000000 0.000000
2341 2 0.000000 0.000000
2401 3 30.294121 30.294121
2401 1 227.953635 227.953635
2401 2 0.000000 0.000000
2461 3 43.280110 43.280110
2461 1 169.668700 169.668700
2461 2 0.000000 0.000000
2521 1 170.591104 170.591104
2521 2 417.294661 417.294661
2521 3 543.540710 543.540710
2581 1 124.930037 124.930037
2581 3 0.000000 0.000000
2581 2 0.000000 0.000000
2641 2 118.147543 118.147543
2641 1 0.000000 0.000000
2641 3 0.000000 0.000000
2701 3 0.000000 0.000000
2701 1 0.000000 0.000000
2701 2 0.000000 0.000000
2761 2 200.696592 200.696592
2761 3 5.488627 5.488627
2761 1 0.000000 0.000000
2821 2 0.000000 0.000000
2821 1 0.000000 0.000000
2821 3 0.000000 0.000000
2881 2 0.000000 0.000000
2881 3 0.000000 0.000000
2881 1 0.000000 0.000000
2941 3 10.645375 10.645375
2941 2 0.000000 0.000000
2941 1 0.000000 0.000000
3001 2 0.000000 0.000000
3001 1 0.000000 0.000000
3001 3 0.000000 0.000000
3061 3 0.000000 0.000000
3061 1 0.000000 0.000000
3061 2 0.000000 0.000000
3121 2 0.000000 0.000000
3121 3 0.000000 0.000000
3121 1 0.000000 0.000000
3181 3 0.000000 0.000000
3181 1 0.000000 0.000000
3181 2 0.000000 0.000000
3241 3 0.000000 0.000000
3241 2 0.000000 0.000000
3241 1 0.000000 0.000000
3301 3 0.000000 0.000000
3301 2 0.000000 0.000000
3301 1 0.000000 0.000000
3361 2 0.000000 0.000000
3361 1 0.000000 0.000000
3361 3 0.000000 0.000000
3421 1 0.000000 0.000000
3421 3 0.000000 0.000000
3421 2 0.000000 0.000000
3481 2 0.000000 0.000000
3481 3 0.000000 0.000000
3481 1 0.000000 0.000000
3541 3 0.000000 0.000000
3541 1 0.000000 0.000000
3541 2 0.000000 0.000000
