IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1 1 100.000000 105.000000 100.000000 5.000000 0.000000 -5.000000
1 2 100.000000 105.000000 100.000000 5.000000 0.000000 -5.000000
1 3 100.000000 105.000000 100.000000 5.000000 0.000000 -5.000000
61 2 509.531864 292.500000 290.000000 2.500000 219.531864 217.031864
61 1 613.272229 401.450000 398.950000 2.500000 214.322229 211.822229
61 3 611.765775 371.360139 368.860139 2.500000 242.905636 240.405636
121 3 210.947290 336.252447 333.752447 2.500000 -122.805157 -125.305157
121 2 528.569003 300.823875 298.323875 2.500000 230.245127 227.745127
121 1 528.322903 341.333959 338.833959 2.500000 189.488944 186.988944
181 1 655.194015 356.980925 354.480925 2.500000 300.713089 298.213089
181 3 222.979151 218.288448 217.809634 0.478813 5.169517 4.690703
181 2 326.829384 286.075320 283.575320 2.500000 43.254064 40.754064
241 3 340.627681 345.542744 345.063931 0.478813 -4.436251 -4.915064
241 2 455.547521 317.117836 314.617836 2.500000 140.929685 138.429685
241 1 451.065505 362.802592 360.302592 2.500000 90.762913 88.262913
301 3 578.796278 361.329289 360.622438 0.706851 218.173840 217.466989
301 1 578.145621 343.893750 340.339911 3.553840 237.805711 234.251871
301 2 232.631002 272.760353 269.206513 3.553840 -36.575511 -40.129351
361 2 476.066750 210.912992 208.412992 2.500000 267.653758 265.153758
361 3 357.903524 269.889500 269.392255 0.497245 88.511269 88.014024
361 1 237.258578 297.320456 294.820456 2.500000 -57.561877 -60.061877
421 2 242.187662 287.379374 284.879374 2.500000 -42.691713 -45.191713
421 1 364.590622 384.051317 381.551317 2.500000 -16.960696 -19.460696
421 3 491.578612 280.279012 279.781768 0.497245 211.796844 211.299600
481 3 375.843983 321.266654 320.769409 0.497245 55.074574 54.577329
481 1 503.609605 226.508553 224.008553 2.500000 279.601052 277.101052
481 2 628.698113 292.700559 290.200559 2.500000 338.497554 335.997554
541 2 130.467168 219.675225 219.196412 0.478813 -88.729244 -89.208057
541 1 130.532045 224.777967 224.299154 0.478813 -93.767109 -94.245922
541 3 389.883479 306.155590 305.658346 0.497245 84.225133 83.727889
601 1 401.158783 296.727591 295.895356 0.832235 105.263428 104.431192
601 3 398.647410 316.762077 316.264833 0.497245 82.382577 81.885332
601 2 267.929823 306.906195 306.092852 0.813343 -38.163030 -38.976373
661 3 274.150852 286.372759 285.875515 0.497245 -11.724663 -12.221908
661 1 411.264023 312.375337 311.543102 0.832235 99.720921 98.888686
661 2 410.376585 291.908349 290.948844 0.959505 119.427740 118.468235
721 1 694.314870 276.755843 275.923607 0.832235 418.391263 417.559028
721 3 555.052596 194.682753 194.139676 0.543077 360.912920 360.369843
721 2 415.631229 358.589197 357.629692 0.959505 58.001537 57.042032
781 2 709.441224 271.911476 270.951971 0.959505 438.489253 437.529748
781 3 565.485279 307.279679 306.736602 0.543077 258.748677 258.205601
781 1 427.301263 220.656542 219.824306 0.832235 207.476957 206.644721
841 1 436.411930 277.108380 276.276145 0.832235 160.135785 159.303550
841 3 581.523497 348.421821 347.878744 0.543077 233.644753 233.101676
841 2 436.620755 328.371402 327.411898 0.959505 109.208858 108.249353
901 1 445.437474 307.945091 307.112856 0.832235 138.324618 137.492383
901 3 298.271334 333.249021 332.705945 0.543077 -34.434610 -34.977687
901 2 591.754522 323.436702 322.477198 0.959505 269.277324 268.317819
961 3 452.463036 241.308687 240.634444 0.674243 211.828592 211.154348
961 1 300.618315 308.043858 307.211623 0.832235 -6.593309 -7.425544
961 2 754.480856 287.664672 286.705167 0.959505 467.775690 466.816185
1021 1 463.250080 338.888674 338.028593 0.860081 125.221488 124.361406
1021 2 155.505577 195.593756 194.634251 0.959505 -39.128675 -40.088179
1021 3 308.712907 282.359656 281.685412 0.674243 27.027495 26.353251
1081 3 628.086754 236.328490 235.654247 0.674243 392.432507 391.758264
1081 2 628.179921 298.224510 297.114674 1.109835 331.065246 329.955411
1081 1 623.607121 349.196437 348.336356 0.860081 275.270765 274.410684
1141 1 317.272624 380.047645 379.187564 0.860081 -61.914939 -62.775021
1141 3 636.334501 272.265384 271.591141 0.674243 364.743361 364.069117
1141 2 157.814516 272.696887 271.587052 1.109835 -113.772536 -114.882372
1201 3 322.295367 333.831306 333.157062 0.674243 -10.861695 -11.535938
1201 2 483.059908 268.052472 266.511827 1.540644 216.548081 215.007437
1201 1 965.441673 324.000329 322.904841 1.095487 642.536832 641.441344
1261 3 493.085124 246.765648 246.048145 0.717503 247.036979 246.319476
1261 1 490.664141 406.087698 404.992211 1.095487 85.671930 84.576442
1261 2 328.807989 365.507655 363.967010 1.540644 -35.159022 -36.699666
1321 1 498.187792 252.302730 251.207243 1.095487 246.980550 245.885062
1321 2 829.019771 355.452282 353.774014 1.678268 475.245757 473.567489
1321 3 668.201366 313.471467 312.753964 0.717503 355.447402 354.729900
