IT_NO DIVIDENDS_RECIEVED DIVIDENDS_PAID SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
1 1390.986750 0.000000 231.350000 0.000000 1159.636750 0.000000 1000.000000
61 2116.269533 1390.986750 1628.022305 488.247228 0.000000 0.000000 1000.000000
121 2407.928095 2116.269533 734.947616 172.465386 1500.515094 0.000000 1000.000000
181 1847.711271 2407.928095 692.787553 371.994304 782.929414 0.000000 1000.000000
241 1325.254101 1847.711271 764.922220 152.169937 408.161944 0.000000 1000.000000
301 1276.018297 1325.254101 283.031080 0.000000 992.987217 0.000000 1000.000000
361 3494.327460 1276.018297 1425.788613 0.000000 2068.538847 0.000000 1000.000000
421 4204.297975 3494.327460 2253.406956 0.000000 1950.891020 0.000000 1000.000000
481 2913.050497 4204.297975 1129.583708 0.000000 1783.466789 0.000000 1000.000000
541 2847.818531 2913.050497 662.857492 950.050109 1234.910929 0.000000 1000.000000
601 2222.402314 2847.818531 746.153059 230.099431 1246.149824 0.000000 1000.000000
661 2058.044410 2222.402314 665.742525 143.184364 1249.117521 0.000000 1000.000000
721 3849.173397 2058.044410 1819.311469 776.439084 1253.422845 0.000000 1000.000000
781 757.002473 3849.173397 757.002473 0.000000 0.000000 0.000000 1000.000000
841 1096.832886 757.002473 796.813275 300.019611 0.000000 0.000000 1000.000000
901 1350.178473 1096.832886 625.466273 60.724197 663.988002 0.000000 1000.000000
961 2664.953681 1350.178473 2077.668051 0.000000 587.285630 0.000000 1000.000000
1021 1227.689262 2664.953681 635.952471 0.000000 591.736791 0.000000 1000.000000
1081 1392.705058 1227.689262 798.477536 0.000000 594.227522 0.000000 1000.000000
1141 2184.791755 1392.705058 931.980923 0.000000 1252.810832 0.000000 1000.000000
1201 2905.658417 2184.791755 1654.319721 0.000000 1251.338696 0.000000 1000.000000
1261 2013.648605 2905.658417 761.675001 0.000000 1251.973604 0.000000 1000.000000
1321 2062.939858 2013.648605 810.199387 0.000000 1252.740471 0.000000 1000.000000
1381 2457.058051 2062.939858 1202.014521 0.178857 1254.864673 0.000000 1000.000000
1441 2682.911086 2457.058051 1429.034595 0.000000 1253.876491 0.000000 1000.000000
1501 2078.352940 2682.911086 824.073689 0.000000 1254.279251 0.000000 1000.000000
1561 4149.883789 2078.352940 1278.469374 1603.984746 1267.429669 0.000000 1000.000000
1621 1093.244787 3116.126183 1093.244787 0.000000 0.000000 1033.757606 1000.000000
1681 1185.314135 0.000000 1185.314135 0.000000 0.000000 1323.609457 1000.000000
1741 290.903306 1185.314135 290.903306 0.000000 0.000000 0.000000 769.635330
1801 3075.254617 290.903306 3075.254617 0.000000 0.000000 0.000000 769.635330
1861 1455.636512 3075.254617 870.688607 0.000000 584.947905 0.000000 769.635330
1921 1753.669792 1455.636512 737.956364 416.254291 599.459136 0.000000 769.635330
1981 759.265861 1753.669792 759.265861 0.000000 0.000000 0.000000 769.635330
2041 2721.402753 759.265861 1473.238558 638.926849 609.237346 0.000000 769.635330
2101 2373.227722 2721.402753 1086.913285 27.740397 1258.574039 0.000000 769.635330
2161 2848.782274 2373.227722 1348.871813 844.312423 655.598038 0.000000 769.635330
2221 824.196542 2848.782274 824.196542 0.000000 0.000000 0.000000 769.635330
2281 1041.490480 0.000000 1041.490480 0.000000 0.000000 1059.705236 769.635330
2341 1544.357353 1041.490480 1544.357353 0.000000 0.000000 0.000000 534.126636
2401 1925.762672 1544.357353 1925.762672 0.000000 0.000000 0.000000 534.126636
2461 1954.195517 1925.762672 846.633113 409.647100 697.915304 0.000000 534.126636
2521 905.041774 1954.195517 905.041774 0.000000 0.000000 0.000000 534.126636
2581 1496.493291 905.041774 1151.385132 345.108159 0.000000 0.000000 534.126636
2641 2510.266789 1496.493291 1895.385005 0.000000 614.881784 0.000000 534.126636
2701 1145.410115 2510.266789 1145.410115 0.000000 0.000000 0.000000 534.126636
2761 1618.678087 1145.410115 981.098687 0.000000 637.579400 0.000000 534.126636
2821 765.590503 1618.678087 744.167445 21.423058 0.000000 0.000000 534.126636
2881 2821.543264 765.590503 2821.543264 0.000000 0.000000 0.000000 534.126636
2941 887.045568 2821.543264 887.045568 0.000000 0.000000 0.000000 534.126636
3001 1649.341064 887.045568 957.480887 55.000743 636.859435 0.000000 534.126636
3061 964.027680 1649.341064 964.027680 0.000000 0.000000 0.000000 534.126636
3121 3668.922439 964.027680 3021.408891 0.000000 647.513548 0.000000 534.126636
3181 959.951078 3668.922439 959.951078 0.000000 0.000000 0.000000 534.126636
3241 1037.782035 959.951078 1037.782035 0.000000 0.000000 0.000000 534.126636
3301 1814.728431 1037.782035 1160.181406 0.000000 654.547024 0.000000 534.126636
3361 2388.158173 1814.728431 2388.158173 0.000000 0.000000 0.000000 534.126636
3421 1075.200846 2388.158173 1075.200846 0.000000 0.000000 0.000000 534.126636
3481 1018.847141 1075.200846 1018.847141 0.000000 0.000000 0.000000 534.126636
3541 2239.044559 1018.847141 2239.044559 0.000000 0.000000 0.000000 534.126636
