IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_GOODS_PRICE
1 15 5.000000 46 46 46000 0 46000 46920 0.005546
1 14 5.000000 54 54 54000 0 54000 55080 0.005546
1 13 5.000000 68 68 68000 0 68000 69360 0.005546
1 12 5.000000 65 65 65000 0 65000 66300 0.005546
1 11 5.000000 58 58 58000 0 58000 59160 0.005546
1 10 5.000000 35 35 35000 0 35000 35700 0.005546
1 9 5.000000 58 58 58000 0 58000 59160 0.005546
1 8 5.000000 45 45 45000 0 45000 45900 0.005546
1 7 5.000000 70 70 70000 0 70000 71400 0.005546
1 6 5.000000 57 57 57000 0 57000 58140 0.005546
1 5 5.000000 49 49 49000 0 49000 49980 0.005546
1 4 5.000000 56 56 56000 0 56000 57120 0.005546
21 15 5.050000 47 47 46000 0 47000 47720 0.005600
21 14 5.050000 56 56 50886 3114 56000 50400 0.005597
21 13 5.050000 70 70 50650 17350 70000 63000 0.005589
21 12 5.050000 67 67 52136 12864 67000 60300 0.005591
21 11 5.050000 60 60 47926 10074 60000 54000 0.005592
21 10 5.050000 36 36 35000 0 36000 36500 0.005600
21 9 5.050000 60 60 51035 6965 60000 54000 0.005594
21 8 5.050000 46 46 45000 0 46000 46700 0.005600
21 7 5.050000 72 72 44338 25662 72000 64800 0.005586
21 6 5.050000 59 59 51158 5842 59000 53100 0.005595
21 5 5.050000 50 50 49000 0 50000 50780 0.005600
21 4 5.050000 58 58 44322 11678 58000 52200 0.005591
41 8 5.054670 47 47 46000 0 47000 47720 0.005604
41 5 5.054670 51 51 50000 0 51000 51800 0.005605
41 10 5.054670 37 37 36000 0 37000 37520 0.005604
41 15 5.054670 48 48 47000 0 48000 48740 0.005604
41 14 5.050000 51 51 59114 0 51000 53805 0.005604
41 13 5.050000 63 63 73947 13403 63000 56700 0.005602
41 12 5.050000 61 61 66820 13044 61000 54900 0.005602
41 11 5.050000 54 54 59676 10398 54000 48600 0.005603
41 9 5.050000 54 54 66965 0 54000 57932 0.005605
41 7 5.050000 65 65 75841 21821 65000 58500 0.005600
41 6 5.050000 54 54 64576 266 54000 56088 0.005604
41 4 5.050000 53 53 69678 0 53000 57729 0.005604
61 7 5.050000 59 59 86821 0 59000 66300 0.005610
61 12 5.050000 55 55 74044 0 55000 60289 0.005610
61 8 5.053165 48 48 47000 0 48000 48740 0.005602
61 5 5.053165 52 52 51000 0 52000 52820 0.005602
61 10 5.053165 38 38 37000 0 38000 38540 0.005601
61 15 5.053165 49 49 48000 0 49000 49760 0.005602
61 14 5.053165 54 54 51000 0 54000 54420 0.005605
61 6 5.053165 57 57 54266 0 57000 57538 0.005605
61 11 5.050000 49 49 64398 0 49000 53367 0.005610
61 13 5.050000 57 57 76403 0 57000 62408 0.005610
61 9 5.053165 58 58 54000 0 58000 58280 0.005605
61 4 5.053165 58 58 53000 0 58000 58060 0.005603
81 7 5.055588 67 67 59000 0 67000 60300 0.005609
81 12 5.055588 61 61 55000 0 61000 54900 0.005610
81 8 5.055588 49 49 48000 0 49000 49760 0.005604
81 5 5.055588 53 53 52000 0 53000 53840 0.005604
81 10 5.055588 39 39 38000 0 39000 39560 0.005603
81 14 5.055588 55 55 54000 0 55000 55880 0.005606
81 6 5.055588 58 58 57000 0 58000 58940 0.005607
81 11 5.055588 54 54 49000 0 54000 48600 0.005611
81 13 5.055588 63 63 57000 0 63000 56700 0.005611
81 9 5.055588 59 59 58000 0 59000 59960 0.005607
81 4 5.055588 59 59 58000 0 59000 59960 0.005605
81 15 5.055588 50 50 49000 0 50000 50780 0.005604
101 13 5.055588 57 57 63000 0 57000 59460 0.005616
101 11 5.055588 49 49 54000 0 49000 51080 0.005616
101 12 5.055588 55 55 61000 0 55000 57420 0.005616
101 7 5.055588 61 61 67000 0 61000 63540 0.005614
101 10 5.061434 40 40 39000 0 40000 40580 0.005608
101 9 5.061434 60 60 59000 0 60000 60980 0.005612
101 15 5.061434 51 51 50000 0 51000 51800 0.005609
101 4 5.061434 60 60 59000 0 60000 60980 0.005611
101 6 5.061434 59 59 58000 0 59000 59960 0.005612
101 14 5.061434 56 56 55000 0 56000 56900 0.005612
101 5 5.061434 54 54 53000 0 54000 54860 0.005609
101 8 5.061434 50 50 49000 0 50000 50780 0.005609
121 15 5.061536 52 52 51000 0 52000 52820 0.005609
121 4 5.061536 61 61 60000 0 61000 62000 0.005610
121 11 5.061536 52 52 49000 0 52000 52380 0.005619
121 12 5.061536 58 58 55000 0 58000 58500 0.005619
121 7 5.061536 64 64 61000 0 64000 64620 0.005618
121 10 5.061536 41 41 40000 0 41000 41600 0.005607
121 9 5.061536 61 61 60000 0 61000 62000 0.005612
121 6 5.061536 60 60 59000 0 60000 60980 0.005612
121 14 5.061536 57 57 56000 0 57000 57920 0.005611
121 5 5.061536 55 55 54000 0 55000 55880 0.005609
121 8 5.061536 51 51 50000 0 51000 51800 0.005608
121 13 5.061536 60 60 57000 0 60000 60540 0.005620
141 15 5.064242 53 53 52000 0 53000 53840 0.005611
141 4 5.064242 62 62 61000 0 62000 63020 0.005612
141 12 5.064242 59 59 58000 0 59000 59960 0.005622
141 10 5.064242 42 42 41000 0 42000 42620 0.005609
141 9 5.064242 62 62 61000 0 62000 63020 0.005614
141 6 5.064242 61 61 60000 0 61000 62000 0.005614
141 5 5.064242 56 56 55000 0 56000 56900 0.005611
141 8 5.064242 52 52 51000 0 52000 52820 0.005611
141 13 5.064242 61 61 60000 0 61000 62000 0.005622
141 14 5.064242 58 58 57000 0 58000 58940 0.005614
141 7 5.064242 65 65 64000 0 65000 66080 0.005620
141 11 5.064242 53 53 52000 0 53000 53840 0.005621
161 15 5.066352 54 54 53000 0 54000 54860 0.005612
161 4 5.066352 64 64 62000 0 64000 64840 0.005613
161 12 5.066352 60 60 59000 0 60000 60980 0.005623
161 9 5.066352 64 64 62000 0 64000 64840 0.005615
161 6 5.066352 62 62 61000 0 62000 63020 0.005615
161 5 5.066352 57 57 56000 0 57000 57920 0.005613
161 8 5.066352 53 53 52000 0 53000 53840 0.005612
161 14 5.066352 59 59 58000 0 59000 59960 0.005615
161 7 5.066352 67 67 65000 0 67000 67900 0.005621
161 11 5.066352 54 54 53000 0 54000 54860 0.005623
161 13 5.066352 62 62 61000 0 62000 63020 0.005624
161 10 5.066352 43 43 42000 0 43000 43640 0.005611
181 9 5.069491 65 65 64000 0 65000 66080 0.005618
181 6 5.069491 64 64 62000 0 64000 64840 0.005618
181 8 5.069491 54 54 53000 0 54000 54860 0.005615
181 14 5.069491 60 60 59000 0 60000 60980 0.005618
181 4 5.069491 65 65 64000 0 65000 66080 0.005616
181 12 5.069491 61 61 60000 0 61000 62000 0.005626
181 5 5.069491 58 58 57000 0 58000 58940 0.005615
181 13 5.069491 64 64 62000 0 64000 64840 0.005626
181 10 5.069491 44 44 43000 0 44000 44660 0.005613
181 11 5.069491 55 55 54000 0 55000 55880 0.005625
181 7 5.069491 68 68 67000 0 68000 69140 0.005624
181 15 5.069491 55 55 54000 0 55000 55880 0.005615
201 9 5.070541 67 67 65000 0 67000 67900 0.005618
201 6 5.070541 65 65 64000 0 65000 66080 0.005618
201 8 5.070541 55 55 54000 0 55000 55880 0.005615
201 14 5.070541 61 61 60000 0 61000 62000 0.005618
201 12 5.070541 62 62 61000 0 62000 63020 0.005626
201 5 5.070541 59 59 58000 0 59000 59960 0.005616
201 13 5.070541 65 65 64000 0 65000 66080 0.005626
201 10 5.070541 45 45 44000 0 45000 45680 0.005614
201 7 5.070541 70 70 68000 0 70000 70960 0.005624
201 15 5.070541 56 56 55000 0 56000 56900 0.005616
201 11 5.070541 56 56 55000 0 56000 56900 0.005625
201 4 5.070541 67 67 65000 0 67000 67900 0.005616
221 9 5.072234 68 68 67000 0 68000 69140 0.005619
221 6 5.072234 67 67 65000 0 67000 67900 0.005619
221 8 5.072234 56 56 55000 0 56000 56900 0.005617
