IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1 4 19.600000 19.600000
1 5 17.150000 17.150000
1 6 19.950000 19.950000
1 7 24.500000 24.500000
1 8 15.750000 15.750000
1 9 20.300000 20.300000
1 10 12.250000 12.250000
1 11 20.300000 20.300000
1 12 22.750000 22.750000
1 13 23.800000 23.800000
1 14 18.900000 18.900000
1 15 16.100000 16.100000
61 13 336.356375 336.356375
61 4 65.205250 65.205250
61 5 10.617094 10.617094
61 6 81.717844 81.717844
61 11 82.730438 82.730438
61 12 117.318594 117.318594
61 7 343.881563 343.881563
61 8 5.566719 5.566719
61 9 137.730438 137.730438
61 10 7.440781 7.440781
61 14 0.000000 0.000000
61 15 29.079313 29.079313
121 4 206.205250 206.205250
121 11 200.230438 200.230438
121 12 207.818594 207.818594
121 10 151.940781 151.940781
121 14 248.684682 248.684682
121 5 213.617094 213.617094
121 6 198.717844 198.717844
121 8 198.566719 198.566719
121 13 0.000000 0.000000
121 7 0.000000 0.000000
121 9 0.000000 0.000000
121 15 47.079313 47.079313
181 13 302.956179 302.956179
181 7 373.010044 373.010044
181 4 94.705250 94.705250
181 11 54.230438 54.230438
181 9 224.238976 224.238976
181 12 0.000000 0.000000
181 10 0.000000 0.000000
181 14 0.000000 0.000000
181 5 0.000000 0.000000
181 6 0.000000 0.000000
181 8 0.000000 0.000000
181 15 50.579313 50.579313
241 12 334.368724 334.368724
241 14 340.757363 340.757363
241 6 269.776637 269.776637
241 8 269.625569 269.625569
241 11 7.730438 7.730438
241 4 12.705250 12.705250
241 15 55.579312 55.579312
241 10 207.486741 207.486741
241 5 286.680050 286.680050
241 13 0.000000 0.000000
241 7 0.000000 0.000000
241 9 0.000000 0.000000
301 11 152.230437 152.230437
301 9 309.305261 309.305261
301 12 64.368724 64.368724
301 4 24.705250 24.705250
301 15 79.079313 79.079313
301 14 0.000000 0.000000
301 5 0.000000 0.000000
301 10 0.000000 0.000000
301 8 0.000000 0.000000
301 6 0.000000 0.000000
301 13 412.044695 412.044695
