IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1 4 313.600000 294.000000 280.000000 14.000000 33.600000 19.600000
1 5 274.400000 257.250000 245.000000 12.250000 29.400000 17.150000
1 6 319.200000 299.250000 285.000000 14.250000 34.200000 19.950000
1 7 392.000000 367.500000 350.000000 17.500000 42.000000 24.500000
1 8 252.000000 236.250000 225.000000 11.250000 27.000000 15.750000
1 9 324.800000 304.500000 290.000000 14.500000 34.800000 20.300000
1 10 196.000000 183.750000 175.000000 8.750000 21.000000 12.250000
1 11 324.800000 304.500000 290.000000 14.500000 34.800000 20.300000
1 12 364.000000 341.250000 325.000000 16.250000 39.000000 22.750000
1 13 380.800000 357.000000 340.000000 17.000000 40.800000 23.800000
1 14 302.400000 283.500000 270.000000 13.500000 32.400000 18.900000
1 15 257.600000 241.500000 230.000000 11.500000 27.600000 16.100000
61 11 960.304813 830.454375 823.150000 7.304375 137.154813 129.850438
61 5 837.605004 779.223669 773.052731 6.170937 64.552273 58.381335
61 14 898.865688 820.021529 813.220904 6.800625 85.644783 78.844158
61 9 960.304813 876.087939 868.783564 7.304375 91.521249 84.216874
61 4 932.362750 860.686064 853.633564 7.052500 78.729186 71.676686
61 6 949.111281 860.805671 853.627234 7.178437 95.484047 88.305610
61 15 787.344000 733.372353 727.579228 5.793125 59.764773 53.971648
61 10 603.053653 565.250859 560.843047 4.407813 42.210606 37.802793
61 8 770.590332 718.088580 712.421393 5.667187 58.168939 52.501752
61 13 1122.235125 968.063750 959.500000 8.563750 162.735125 154.171375
61 12 1077.544531 932.335938 924.150000 8.185938 153.394531 145.208594
61 7 1155.732188 998.615625 989.800000 8.815625 165.932188 157.116563
121 13 993.275996 918.714703 910.150953 8.563750 83.125043 74.561293
121 12 959.509706 887.998525 879.812588 8.185938 79.697119 71.511181
121 7 1049.144450 979.643308 970.827683 8.815625 78.316767 69.501142
121 8 823.814032 764.418478 758.751291 5.667187 65.062741 59.395554
121 15 840.637708 779.719340 773.926215 5.793125 66.711493 60.918368
121 6 970.084233 902.504048 895.325610 7.178437 74.758622 67.580185
121 4 992.189328 917.553034 910.500534 7.052500 81.688793 74.636293
121 5 891.108738 825.621926 819.450988 6.170937 71.657749 65.486812
121 14 925.171684 856.601462 849.800837 6.800625 75.370847 68.570222
121 9 992.466390 917.804909 910.500534 7.304375 81.965856 74.661481
121 10 655.577267 611.409859 607.002047 4.407813 48.575220 44.167407
121 11 852.927727 791.047164 783.742789 7.304375 69.184938 61.880563
181 12 994.848089 920.282658 912.096721 8.185938 82.751368 74.565431
181 11 893.623730 828.192057 820.887682 7.304375 72.736048 65.431673
181 8 875.113717 811.353363 805.686176 5.667187 69.427542 63.760354
181 10 706.637339 658.078924 653.671112 4.407813 52.966227 48.558414
181 6 1027.158052 954.749356 947.570918 7.178437 79.587134 72.408696
181 7 1101.367405 1022.258042 1013.442417 8.815625 87.924988 79.109363
181 13 1028.681896 956.134668 947.570918 8.563750 81.110977 72.547227
181 15 891.961355 826.680807 820.887682 5.793125 71.073673 65.280548
181 5 942.504269 872.663139 866.492202 6.170937 76.012067 69.841130
181 14 976.615138 903.695839 896.895214 6.800625 79.719924 72.919299
181 4 1049.300647 974.890398 967.837898 7.052500 81.462750 74.410250
181 9 1049.577710 975.142273 967.837898 7.304375 81.739812 74.435437
241 15 938.372372 868.598503 862.805378 5.793125 75.566993 69.773868
241 4 1123.930202 1047.495842 1040.443342 7.052500 83.486860 76.434360
241 11 945.618414 859.955751 852.651376 7.304375 92.967037 85.662662
241 12 1052.626611 962.345634 954.159697 8.185938 98.466914 90.280976
241 7 1176.097045 1084.783377 1075.967752 8.815625 100.129292 91.313667
241 10 758.265041 694.650662 690.242849 4.407813 68.022192 63.614380
241 8 927.075039 853.246010 847.578823 5.667187 79.496216 73.829028
241 6 1101.745766 996.862545 989.684107 7.178437 112.061659 104.883221
241 13 1103.269610 993.171170 984.607420 8.563750 118.662190 110.098440
241 14 1028.776631 940.658332 933.857707 6.800625 94.918924 88.118299
241 9 1124.207264 1032.517654 1025.213279 7.304375 98.993985 91.689610
241 5 989.015371 904.500726 898.329789 6.170937 90.685582 84.514645
301 8 947.365448 871.680176 863.624065 8.056111 83.741383 75.685273
301 12 1079.793407 1002.261981 990.625377 11.636604 89.168030 77.531426
301 9 1162.209735 1077.210526 1066.827095 10.383431 95.382640 84.999209
301 4 1184.155369 1056.522992 1046.497609 10.025382 137.657760 127.632378
301 10 772.220417 707.321667 701.055803 6.265864 71.164614 64.898750
301 6 1089.390533 1005.909954 995.705547 10.204407 93.684986 83.480579
301 14 1021.758003 908.844723 899.177390 9.667333 122.580613 112.913280
301 5 1015.191075 928.272993 919.500783 8.772209 95.690291 86.918082
301 15 981.080303 897.258278 889.023142 8.235135 92.057160 83.822025
301 11 933.166538 848.603933 838.220502 10.383431 94.946036 84.562604
301 7 1192.498473 1089.520602 1076.988875 12.531728 115.509599 102.977871
301 13 1041.273947 946.917851 934.744173 12.173678 106.529774 94.356096
361 7 1239.726269 1147.639747 1138.824122 8.815625 100.902147 92.086522
361 5 1029.947811 951.800941 945.630004 6.170937 84.317807 78.146870
361 8 979.071961 895.371716 889.704529 5.667187 89.367433 83.700245
361 12 1110.433940 1009.736745 1001.550807 8.185938 108.883133 100.697195
361 9 1193.329668 1085.115539 1077.811164 7.304375 115.518504 108.214129
361 4 1125.963840 1018.769418 1011.716918 7.052500 114.246922 107.194422
361 10 754.044073 670.413537 666.005725 4.407813 88.038348 83.630535
361 6 1103.735733 1003.647466 996.469029 7.178437 107.266705 100.088267
361 14 991.504518 921.926486 915.125861 6.800625 76.378657 69.578032
361 15 1018.351355 946.340318 940.547193 5.793125 77.804162 72.011037
361 11 952.921372 886.843283 879.538908 7.304375 73.382465 66.078090
361 13 1060.533857 974.528636 965.964886 8.563750 94.568971 86.005221
421 15 1052.715620 962.382446 956.589321 5.793125 96.126299 90.333174
421 7 1274.261316 1168.934911 1160.119286 8.815625 114.142030 105.326405
421 10 754.638592 706.584457 702.176645 4.407813 52.461947 48.054135
421 8 1007.816716 926.637421 920.970233 5.667187 86.846482 81.179295
421 9 1171.880994 1045.300772 1037.996397 7.304375 133.884597 126.580222
421 4 1087.673386 989.081234 982.028734 7.052500 105.644651 98.592151
