IT_NO ID MORTGAGES MORTGAGE_COST HOUSING_UNITS HOUSING_VALUE EQUITY_RATIO LIQUIDITY
1 746 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 747 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 749 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 750 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 753 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 768 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 777 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 786 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 789 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 794 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 795 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 799 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 818 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 821 249.784400 1.048934 5 500.000000 0.500000 -1.048934
1 742 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 740 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 735 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 734 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 730 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 726 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 723 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 720 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 704 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 692 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 688 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 683 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 672 357.156087 1.410579 6 600.000000 0.500000 13.589421
1 661 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 652 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 649 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 634 357.156087 1.410579 6 600.000000 0.500000 13.589421
1 632 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 630 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 629 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 626 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 621 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 613 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 611 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 609 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 599 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 598 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 594 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 574 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 569 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 564 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 563 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 557 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 556 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 544 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 540 357.156087 1.410579 6 600.000000 0.500000 13.589421
1 538 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 531 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 527 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 521 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 520 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 514 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 513 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 510 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 509 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 507 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 503 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 498 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 497 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 488 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 483 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 478 357.156087 1.410579 6 600.000000 0.500000 13.589421
1 464 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 447 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 446 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 441 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 440 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 438 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 437 257.277932 1.080402 5 500.000000 0.500000 13.919598
1 429 257.277932 1.080402 5 500.000000 0.500000 13.919598
