IT_NO ID WAGE HOUSING_VALUE LIQUIDITY
1 746 0.000000 500.000000 -0.330177
1 747 0.000000 500.000000 -0.330177
1 750 0.000000 500.000000 -0.330177
1 751 0.000000 500.000000 -1.048934
1 754 0.000000 500.000000 -0.330177
1 770 0.000000 500.000000 -0.330177
1 779 0.000000 500.000000 -1.048934
1 787 0.000000 500.000000 -0.330177
1 790 0.000000 500.000000 -0.330177
1 795 0.000000 500.000000 -0.330177
1 796 0.000000 500.000000 -0.330177
1 800 0.000000 500.000000 -0.330177
1 818 0.000000 500.000000 -0.330177
1 821 0.000000 500.000000 -1.048934
1 742 5.000000 500.000000 -0.280651
1 740 5.000000 500.000000 -0.280651
1 735 5.000000 500.000000 -0.280651
1 734 5.000000 500.000000 -0.280651
1 730 5.000000 500.000000 -0.280651
1 726 5.000000 500.000000 -0.280651
1 723 5.000000 500.000000 -0.280651
1 720 5.000000 500.000000 -0.280651
1 704 5.000000 500.000000 -0.280651
1 692 5.000000 500.000000 -0.280651
1 688 5.000000 500.000000 -0.280651
1 683 5.000000 500.000000 -0.280651
1 672 5.000000 500.000000 -0.280651
1 661 5.000000 500.000000 -0.280651
1 652 5.000000 500.000000 -0.280651
1 649 5.000000 500.000000 -0.280651
1 634 5.000000 500.000000 -0.280651
1 632 5.000000 500.000000 -0.280651
1 630 5.000000 500.000000 -0.280651
1 629 5.000000 500.000000 -0.280651
1 626 5.000000 500.000000 -0.280651
1 621 5.000000 500.000000 -0.280651
1 613 5.000000 500.000000 -0.280651
1 611 5.000000 500.000000 -0.280651
1 609 5.000000 500.000000 -0.280651
1 599 5.000000 500.000000 -0.280651
1 598 5.000000 500.000000 -0.280651
1 594 5.000000 500.000000 -0.280651
1 574 5.000000 500.000000 -0.280651
1 569 5.000000 500.000000 -0.280651
1 564 5.000000 500.000000 -0.280651
1 563 5.000000 500.000000 -0.280651
1 557 5.000000 500.000000 -0.280651
1 556 5.000000 500.000000 -0.280651
1 544 5.000000 500.000000 -0.280651
1 540 5.000000 500.000000 -0.280651
1 538 5.000000 500.000000 -0.280651
1 531 5.000000 500.000000 -0.280651
1 527 5.000000 500.000000 -0.280651
1 521 5.000000 500.000000 -0.280651
1 520 5.000000 500.000000 -0.280651
1 514 5.000000 500.000000 -0.280651
1 513 5.000000 500.000000 -0.280651
1 510 5.000000 500.000000 -0.280651
1 509 5.000000 500.000000 -0.280651
1 507 5.000000 500.000000 13.919598
1 503 5.000000 500.000000 -0.280651
1 498 5.000000 500.000000 -0.280651
1 497 5.000000 500.000000 -0.280651
1 488 5.000000 500.000000 -0.280651
1 483 5.000000 500.000000 -0.280651
1 478 5.000000 500.000000 -0.280651
1 464 5.000000 500.000000 -0.280651
1 447 5.000000 500.000000 -0.280651
1 446 5.000000 500.000000 -0.280651
1 441 5.000000 500.000000 -0.280651
1 440 5.000000 500.000000 -0.280651
1 438 5.000000 500.000000 -0.280651
1 437 5.000000 500.000000 -0.280651
1 429 5.000000 500.000000 -0.280651
1 427 5.000000 500.000000 -0.280651
1 426 5.000000 500.000000 -0.280651
1 425 5.000000 500.000000 -0.280651
1 422 5.000000 500.000000 -0.280651
1 418 5.000000 500.000000 -0.280651
1 417 5.000000 500.000000 13.919598
1 409 5.000000 500.000000 -0.280651
1 402 5.000000 500.000000 -0.280651
1 385 5.000000 500.000000 -0.280651
1 384 5.000000 500.000000 -0.280651
1 372 5.000000 500.000000 -0.280651
1 370 5.000000 500.000000 -0.280651
1 366 5.000000 500.000000 -0.280651
1 360 5.000000 500.000000 -0.280651
1 348 5.000000 500.000000 -0.280651
1 344 5.000000 500.000000 -0.280651
1 339 5.000000 500.000000 -0.280651
1 331 5.000000 500.000000 -0.280651
1 311 5.000000 500.000000 -0.280651
1 308 5.000000 500.000000 13.919598
1 305 5.000000 500.000000 -0.280651
1 303 5.000000 500.000000 -0.280651
1 289 5.000000 500.000000 -0.280651
1 277 5.000000 500.000000 -0.280651
1 262 5.000000 500.000000 -0.280651
1 257 5.000000 500.000000 -0.280651
1 254 5.000000 500.000000 -0.280651
1 250 5.000000 500.000000 -0.280651
1 244 5.000000 500.000000 -0.280651
1 236 5.000000 500.000000 -0.280651
1 233 5.000000 500.000000 -0.280651
1 227 5.000000 500.000000 -0.280651
1 224 5.000000 500.000000 -0.280651
1 219 5.000000 500.000000 -0.280651
1 215 5.000000 500.000000 -0.280651
1 202 5.000000 500.000000 -0.280651
1 200 5.000000 500.000000 -0.280651
1 197 5.000000 500.000000 -0.280651
1 194 5.000000 500.000000 13.919598
1 187 5.000000 500.000000 -0.280651
1 177 5.000000 500.000000 -0.280651
1 163 5.000000 500.000000 -0.280651
1 162 5.000000 500.000000 -0.280651
1 153 5.000000 500.000000 -0.280651
1 149 5.000000 500.000000 -0.280651
1 146 5.000000 500.000000 -0.280651
1 145 5.000000 500.000000 -0.280651
1 142 5.000000 500.000000 -0.280651
1 140 5.000000 500.000000 -0.280651
1 133 5.000000 500.000000 -0.280651
1 131 5.000000 500.000000 -0.280651
1 118 5.000000 500.000000 -0.280651
1 110 5.000000 500.000000 -0.280651
1 103 5.000000 500.000000 -0.280651
1 101 5.000000 500.000000 -0.280651
1 97 5.000000 500.000000 -0.280651
1 96 5.000000 500.000000 -0.280651
1 91 5.000000 500.000000 -0.280651
1 89 5.000000 500.000000 13.919598
1 72 5.000000 500.000000 -0.280651
1 70 5.000000 500.000000 -0.280651
1 58 5.000000 500.000000 -0.280651
1 57 5.000000 500.000000 -0.280651
1 53 5.000000 500.000000 -0.280651
1 45 5.000000 500.000000 -0.280651
1 41 5.000000 500.000000 -0.280651
1 35 5.000000 500.000000 -0.280651
1 33 5.000000 500.000000 -0.280651
1 29 5.000000 500.000000 -0.280651
1 27 5.000000 500.000000 14.478063
1 28 5.000000 500.000000 14.478063
1 31 5.000000 500.000000 14.478063
1 38 5.000000 500.000000 14.478063
1 46 5.000000 500.000000 14.478063
1 50 5.000000 500.000000 14.478063
1 51 5.000000 500.000000 14.478063
1 54 5.000000 500.000000 14.478063
1 56 5.000000 500.000000 14.478063
1 65 5.000000 500.000000 14.478063
1 66 5.000000 500.000000 14.478063
1 77 5.000000 500.000000 14.478063
1 83 5.000000 500.000000 14.478063
1 86 5.000000 500.000000 14.478063
1 94 5.000000 500.000000 14.478063
1 95 5.000000 500.000000 14.478063
1 99 5.000000 500.000000 14.478063
1 112 5.000000 500.000000 14.478063
1 117 5.000000 500.000000 14.478063
1 120 5.000000 500.000000 14.478063
1 125 5.000000 500.000000 14.478063
1 129 5.000000 500.000000 14.478063
1 130 5.000000 500.000000 14.478063
1 136 5.000000 500.000000 14.478063
1 137 5.000000 500.000000 14.478063
1 138 5.000000 500.000000 14.478063
1 141 5.000000 500.000000 14.478063
1 144 5.000000 500.000000 14.478063
1 147 5.000000 500.000000 14.478063
1 148 5.000000 500.000000 14.478063
1 155 5.000000 500.000000 14.478063
1 165 5.000000 500.000000 14.478063
1 166 5.000000 500.000000 14.478063
1 170 5.000000 500.000000 14.478063
1 175 5.000000 500.000000 14.478063
1 184 5.000000 500.000000 14.478063
1 190 5.000000 500.000000 14.478063
1 196 5.000000 500.000000 14.478063
1 209 5.000000 500.000000 14.478063
1 216 5.000000 500.000000 14.478063
1 220 5.000000 500.000000 14.478063
1 226 5.000000 500.000000 14.478063
1 232 5.000000 500.000000 14.478063
1 240 5.000000 500.000000 14.478063
1 241 5.000000 500.000000 14.478063
1 246 5.000000 500.000000 14.478063
1 255 5.000000 500.000000 14.478063
1 268 5.000000 500.000000 14.478063
1 270 5.000000 500.000000 14.478063
1 275 5.000000 500.000000 14.478063
1 279 5.000000 500.000000 14.478063
1 282 5.000000 500.000000 14.478063
1 285 5.000000 500.000000 14.478063
1 287 5.000000 500.000000 14.478063
1 292 5.000000 500.000000 14.478063
1 296 5.000000 500.000000 14.478063
1 300 5.000000 500.000000 14.478063
1 301 5.000000 500.000000 14.478063
1 302 5.000000 500.000000 14.478063
1 310 5.000000 500.000000 14.478063
1 318 5.000000 500.000000 14.478063
1 349 5.000000 500.000000 14.478063
1 356 5.000000 500.000000 14.478063
1 357 5.000000 500.000000 14.478063
1 363 5.000000 500.000000 14.478063
1 368 5.000000 500.000000 14.478063
1 376 5.000000 500.000000 14.478063
1 382 5.000000 500.000000 14.478063
1 391 5.000000 500.000000 14.478063
1 394 5.000000 500.000000 14.478063
1 397 5.000000 500.000000 14.478063
1 404 5.000000 500.000000 14.478063
1 405 5.000000 500.000000 14.478063
