IT_NO TRANSACTION_QUANTITY AVG_GOODS_PRICE
5 140808 0.005565
10 141519 0.005565
15 141459 0.005565
20 141519 0.005565
25 174354 0.005567
30 174930 0.005567
35 174900 0.005567
40 174985 0.005567
45 176302 0.005586
50 176680 0.005586
55 176733 0.005584
60 97911 0.005574
65 194591 0.005609
70 194929 0.005610
75 194951 0.005609
80 529 0.005605
85 191668 0.005627
90 192177 0.005625
95 191924 0.005632
100 26231 0.005650
105 192349 0.005678
110 192757 0.005678
115 192720 0.005679
120 27174 0.005682
125 217297 0.005688
130 217661 0.005689
135 186042 0.005693
140 0 0.005693
145 212913 0.005745
150 213312 0.005744
155 207775 0.005744
160 0 0.005744
165 216986 0.005754
170 217345 0.005756
175 211669 0.005760
180 0 0.005760
185 214548 0.005808
190 214942 0.005808
195 214933 0.005809
200 14577 0.005808
205 211240 0.005819
210 211702 0.005818
215 211630 0.005819
220 36428 0.005830
225 211540 0.005874
230 211906 0.005874
235 211917 0.005874
240 48637 0.005875
245 212247 0.005912
250 212633 0.005912
255 212544 0.005915
260 59576 0.005936
265 211066 0.005969
270 211482 0.005969
275 211434 0.005970
280 78018 0.005971
285 211338 0.005978
290 211718 0.005978
295 211648 0.005980
300 91296 0.005992
305 207148 0.006064
310 207537 0.006064
315 207529 0.006064
320 119786 0.006066
325 208750 0.006073
330 209162 0.006073
335 209139 0.006074
340 129949 0.006086
345 208766 0.006131
350 209166 0.006131
355 209139 0.006131
360 138929 0.006132
365 210109 0.006173
370 210613 0.006170
375 210510 0.006173
380 111768 0.006181
385 208303 0.006234
390 208705 0.006234
395 208671 0.006235
400 110321 0.006235
405 208488 0.006242
410 208952 0.006241
415 208816 0.006245
420 124744 0.006255
425 208325 0.006329
430 208711 0.006329
435 208700 0.006330
440 124264 0.006332
445 207119 0.006341
450 207471 0.006343
455 207448 0.006344
460 121962 0.006342
465 203015 0.006399
470 203387 0.006399
475 203354 0.006401
480 148244 0.006402
485 210071 0.006445
490 210471 0.006445
495 210400 0.006448
500 97058 0.006440
505 207351 0.006506
510 207634 0.006510
515 207659 0.006510
520 108356 0.006510
525 203760 0.006514
530 204148 0.006515
535 204106 0.006516
540 140986 0.006517
545 194988 0.006609
550 195407 0.006609
555 195349 0.006611
560 146256 0.006602
565 192258 0.006610
570 192558 0.006612
575 192426 0.006617
580 172758 0.006620
585 187607 0.006676
590 188046 0.006674
595 188036 0.006675
600 187992 0.006676
605 194944 0.006721
610 195349 0.006720
615 195545 0.006713
620 160481 0.006708
625 191014 0.006773
630 191446 0.006771
635 191426 0.006772
640 170114 0.006775
645 186927 0.006788
650 187325 0.006788
655 187339 0.006789
660 187111 0.006796
665 163913 0.006883
670 164326 0.006882
675 164249 0.006884
680 164351 0.006881
685 154642 0.006891
690 155044 0.006891
695 154953 0.006895
700 154863 0.006898
705 162459 0.006919
710 162871 0.006918
715 162943 0.006914
720 162867 0.006918
725 164466 0.006920
730 164922 0.006917
735 164958 0.006916
740 164986 0.006915
745 170940 0.006938
750 171252 0.006942
755 171240 0.006941
760 171584 0.006929
765 169111 0.006960
770 169435 0.006963
775 169404 0.006965
780 147519 0.006960
785 165948 0.006967
790 166289 0.006968
795 166385 0.006965
800 75378 0.006948
805 161200 0.006983
810 161580 0.006984
815 161772 0.006976
820 119448 0.006979
825 169853 0.007045
830 170207 0.007046
835 170384 0.007039
840 95556 0.007019
845 198886 0.007023
850 199212 0.007026
855 199390 0.007019
860 22512 0.006986
865 201277 0.007084
870 201702 0.007083
875 201804 0.007080
880 27217 0.007058
885 204353 0.007097
890 204731 0.007097
895 204647 0.007100
900 30269 0.007085
905 195103 0.007130
910 195506 0.007131
915 195547 0.007130
920 69844 0.007123
925 198310 0.007148
930 198629 0.007150
935 198710 0.007147
940 73351 0.007131
945 199934 0.007211
950 200420 0.007208
955 200386 0.007208
960 81260 0.007193
965 197185 0.007195
970 197543 0.007197
975 197609 0.007194
980 102663 0.007187
985 199905 0.007256
990 200332 0.007253
995 200332 0.007255
1000 107431 0.007253
1005 202184 0.007274
1010 202551 0.007274
1015 202608 0.007272
1020 113657 0.007264
1025 213308 0.007368
1030 213776 0.007367
1035 213753 0.007367
1040 93163 0.007354
1045 214119 0.007385
1050 214529 0.007385
1055 214628 0.007381
1060 106724 0.007374
1065 210725 0.007455
1070 211053 0.007458
1075 211153 0.007454
1080 98069 0.007443
1085 211124 0.007508
1090 211579 0.007506
1095 211591 0.007505
1100 95706 0.007475
1105 208682 0.007569
1110 209111 0.007569
1115 209132 0.007568
1120 125075 0.007555
1125 207076 0.007594
1130 207485 0.007594
1135 207601 0.007589
1140 123838 0.007558
1145 190834 0.007686
1150 191263 0.007686
1155 191243 0.007685
1160 187660 0.007662
1165 187162 0.007720
1170 187633 0.007717
1175 187522 0.007721
1180 163683 0.007665
1185 183514 0.007786
1190 183921 0.007785
1195 183850 0.007788
1200 182715 0.007758
1205 189108 0.007836
1210 189407 0.007840
1215 189501 0.007837
1220 167984 0.007781
1225 185886 0.007900
1230 186315 0.007898
1235 186348 0.007897
1240 186963 0.007871
1245 182608 0.007919
1250 182992 0.007920
1255 182879 0.007924
1260 183684 0.007890
1265 192846 0.007979
1270 193147 0.007981
1275 193125 0.007984
1280 178207 0.007949
1285 190060 0.008006
1290 190644 0.007999
1295 190561 0.008001
1300 137735 0.007989
1305 187135 0.008036
1310 187550 0.008035
1315 187551 0.008035
1320 166764 0.008008
1325 176601 0.008113
1330 176896 0.008116
1335 177054 0.008109
1340 177322 0.008097
1345 175141 0.008150
1350 175462 0.008153
1355 175427 0.008155
1360 176127 0.008121
1365 171490 0.008188
1370 171880 0.008188
1375 171847 0.008189
1380 172407 0.008162
1385 183269 0.008174
1390 183574 0.008178
1395 183591 0.008176
1400 183882 0.008164
1405 182727 0.008209
1410 183266 0.008202
1415 183374 0.008198
1420 147663 0.008200
1425 179952 0.008249
1430 180370 0.008249
1435 180237 0.008254
1440 126441 0.008251
1445 183934 0.008266
1450 184312 0.008268
1455 184235 0.008271
1460 138519 0.008253
1465 185607 0.008318
1470 185993 0.008319
1475 186039 0.008317
1480 140361 0.008313
1485 187686 0.008367
1490 188067 0.008369
1495 188209 0.008362
1500 150038 0.008361
1505 198946 0.008406
1510 199400 0.008405
1515 199326 0.008407
1520 121328 0.008398
1525 200026 0.008454
1530 200426 0.008454
1535 200444 0.008453
1540 136104 0.008447
1545 201165 0.008509
1550 201576 0.008509
1555 201535 0.008511
1560 140724 0.008499
1565 188860 0.008565
1570 189218 0.008568
1575 189212 0.008568
1580 172710 0.008540
1585 188301 0.008616
1590 188669 0.008619
1595 188690 0.008617
1600 188844 0.008610
1605 187342 0.008675
1610 187647 0.008677
1615 187553 0.008682
1620 177954 0.008645
1625 187772 0.008745
1630 188045 0.008750
1635 188074 0.008749
1640 179109 0.008744
1645 185530 0.008811
1650 185911 0.008811
1655 185859 0.008814
1660 186235 0.008795
1665 182736 0.008861
1670 183067 0.008864
1675 183076 0.008864
1680 183267 0.008854
1685 181992 0.008939
1690 182371 0.008940
1695 182373 0.008939
1700 182388 0.008938
1705 179867 0.008978
1710 180164 0.008983
1715 180237 0.008979
1720 180187 0.008982
1725 176385 0.009026
1730 176790 0.009026
1735 176768 0.009026
1740 176859 0.009023
1745 175553 0.009081
1750 175907 0.009083
1755 176041 0.009076
1760 176073 0.009074
1765 172345 0.009105
1770 172766 0.009102
1775 172730 0.009105
1780 172768 0.009103
1785 167836 0.009140
1790 168218 0.009141
1795 168208 0.009140
1800 168374 0.009132
1805 165204 0.009157
1810 165606 0.009156
1815 165503 0.009162
1820 165681 0.009152
1825 166153 0.009181
1830 166628 0.009177
1835 166534 0.009182
1840 166466 0.009185
1845 166257 0.009233
1850 166721 0.009231
1855 166727 0.009229
1860 160639 0.009233
1865 184449 0.009245
1870 184734 0.009250
1875 184460 0.009263
1880 62357 0.009260
1885 186298 0.009282
1890 186653 0.009285
1895 186647 0.009286
1900 84402 0.009276
1905 187789 0.009362
1910 188232 0.009359
1915 188236 0.009359
1920 80743 0.009353
1925 197002 0.009363
1930 197389 0.009364
1935 197442 0.009360
1940 68167 0.009347
1945 191873 0.009436
1950 192315 0.009433
