IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 135 101.168333
21 143 102.433468
41 162 103.586793
61 132 104.816886
81 133 106.067793
101 144 107.371359
121 149 108.739983
141 142 110.021316
161 133 111.322132
181 151 112.501335
201 146 113.738657
221 135 114.907638
241 136 116.057770
261 130 117.254505
281 134 118.391173
301 142 118.839934
321 127 119.006497
341 148 119.544037
361 129 120.253656
381 120 120.887493
401 110 121.136136
421 117 121.508604
441 125 122.280427
461 130 123.020929
481 110 123.476106
501 133 124.431421
521 106 124.941766
541 103 125.168299
561 106 125.588675
581 106 126.474313
601 98 127.038285
621 117 127.881406
641 111 128.276571
661 85 128.262235
681 89 128.555869
701 99 129.168457
721 87 129.297996
741 100 130.726416
761 89 131.667573
781 85 132.239940
801 77 132.521164
821 67 132.692749
841 89 133.518352
861 97 134.564131
881 110 135.722911
901 72 136.212079
921 64 136.770230
941 72 137.480200
961 67 138.228133
981 60 139.119705
1001 71 139.640914
1021 62 140.368398
1041 48 140.584799
1061 51 141.027917
1081 72 141.783004
1101 67 142.444305
1121 56 143.037611
1141 59 142.918817
1161 54 143.063721
1181 57 143.874416
1201 51 144.428050
1221 42 144.851018
1241 54 145.374091
1261 42 145.598209
1281 42 145.573076
1301 49 146.092980
1321 59 146.663114
1341 50 147.048105
1361 53 147.725081
1381 44 148.265621
1401 43 148.832823
1421 38 149.050197
1441 28 147.706084
1461 28 147.789168
1481 34 148.127127
1501 38 148.672859
1521 37 149.129928
1541 33 149.686905
1561 26 149.921511
1581 29 150.199382
1601 29 150.760040
1621 37 151.201115
1641 39 151.618857
1661 37 152.045029
1681 35 152.404507
1701 27 152.871598
1721 27 153.222637
1741 32 153.834330
1761 29 154.389991
1781 29 154.758663
1801 15 152.318635
1821 17 151.440563
1841 20 151.658259
1861 25 152.063186
1881 32 152.708267
1901 25 152.973979
1921 20 153.268454
1941 15 153.475366
1961 15 153.639074
1981 34 154.305596
2001 45 155.101127
2021 29 155.781700
2041 13 155.892545
2061 19 155.646399
2081 18 155.808530
2101 29 156.308192
2121 27 156.837903
2141 30 157.339785
2161 8 157.403704
2181 10 156.675712
2201 16 156.144483
2221 21 156.399147
2241 11 156.224976
2261 15 156.540029
2281 8 156.192706
2301 11 155.965517
2321 12 156.121482
2341 21 156.415139
2361 16 156.659538
2381 13 156.849337
2401 13 157.117791
2421 12 157.235629
2441 16 157.486223
2461 22 157.908573
2481 26 158.321564
2501 21 158.513812
2521 19 158.905925
2541 14 159.215224
2561 13 159.564273
2581 39 160.404031
2601 28 160.839413
2621 35 161.400054
2641 13 161.545934
2661 12 161.468527
2681 11 161.428160
2701 14 161.912444
2721 13 162.083698
2741 9 162.254786
2761 15 162.508985
2781 10 162.663369
2801 8 162.770117
2821 23 163.067349
2841 23 163.568958
2861 14 163.741290
2881 9 163.927773
2901 6 164.153174
2921 11 164.272558
2941 12 164.392340
2961 14 164.550861
2981 12 164.842253
3001 10 164.912311
3021 11 165.073476
3041 8 165.161171
3061 17 165.411342
3081 15 165.609835
3101 9 165.752444
3121 12 165.862945
3141 9 165.978128
3161 9 166.070338
3181 11 166.221311
3201 10 166.329355
3221 8 166.350146
3241 9 165.975858
3261 9 166.091119
3281 6 166.201847
3301 11 166.311389
3321 7 166.382665
3341 10 166.486654
3361 5 166.494979
3381 4 166.630256
3401 6 166.692742
3421 7 166.758228
3441 5 166.841608
3461 6 166.904173
3481 2 166.925036
3501 2 166.925036
3521 3 166.952857
3541 3 166.966770
3561 2 166.966770
3581 2 166.966770
