IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1 1 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 2 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 3 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 4 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 5 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 6 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 7 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 8 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 9 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 10 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 11 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 12 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 13 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 14 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 15 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 16 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 17 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 18 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 19 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 20 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 21 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 22 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 23 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 24 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 25 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 26 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 27 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 28 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 29 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
1 30 0.000000 100.000000 100.000000 5.000000 -100.000000 -105.000000
61 26 300.000000 250.000000 250.000000 2.518750 50.000000 47.481250
61 23 400.000000 255.000000 255.000000 2.518750 145.000000 142.481250
61 19 300.000000 205.000000 205.000000 2.518750 95.000000 92.481250
61 18 200.000000 240.000000 240.000000 2.518750 -40.000000 -42.518750
61 16 400.000000 250.000000 250.000000 2.518750 150.000000 147.481250
61 15 400.000000 240.000000 240.000000 2.518750 160.000000 157.481250
61 10 400.000000 235.000000 235.000000 2.518750 165.000000 162.481250
61 9 400.000000 225.000000 225.000000 2.518750 175.000000 172.481250
61 8 300.000000 260.000000 260.000000 2.518750 40.000000 37.481250
61 1 0.000000 270.000000 270.000000 2.518750 -270.000000 -272.518750
61 4 0.000000 225.000000 225.000000 2.518750 -225.000000 -227.518750
61 21 0.000000 225.000000 225.000000 2.518750 -225.000000 -227.518750
61 25 0.000000 270.000000 270.000000 2.518750 -270.000000 -272.518750
61 3 0.000000 220.000000 220.000000 2.518750 -220.000000 -222.518750
61 5 0.000000 125.000000 125.000000 2.518750 -125.000000 -127.518750
61 6 0.000000 210.000000 210.000000 2.518750 -210.000000 -212.518750
61 20 0.000000 210.000000 210.000000 2.518750 -210.000000 -212.518750
61 22 0.000000 220.000000 220.000000 2.518750 -220.000000 -222.518750
61 28 0.000000 125.000000 125.000000 2.518750 -125.000000 -127.518750
61 13 0.000000 175.000000 175.000000 2.518750 -175.000000 -177.518750
61 2 0.000000 225.000000 225.000000 2.518750 -225.000000 -227.518750
61 12 0.000000 220.000000 220.000000 2.518750 -220.000000 -222.518750
61 29 0.000000 150.000000 150.000000 2.518750 -150.000000 -152.518750
61 7 0.000000 165.000000 165.000000 2.518750 -165.000000 -167.518750
61 11 299.972875 210.000000 210.000000 2.518750 89.972875 87.454125
61 14 499.954792 220.000000 220.000000 2.518750 279.954792 277.436042
61 17 399.981917 230.000000 230.000000 2.518750 169.981917 167.463167
61 24 399.981917 240.000000 240.000000 2.518750 159.981917 157.463167
61 27 299.981917 210.000000 210.000000 2.518750 89.981917 87.463167
61 30 399.981917 195.000000 195.000000 2.518750 204.981917 202.463167
121 14 0.000000 140.000000 140.000000 2.518750 -140.000000 -142.518750
121 27 0.000000 15.000000 15.000000 0.629170 -15.000000 -15.629170
121 8 0.000000 15.000000 15.000000 0.629170 -15.000000 -15.629170
121 20 0.000000 120.000000 120.000000 2.518750 -120.000000 -122.518750
121 7 0.000000 15.000000 15.000000 0.000000 -15.000000 -15.000000
121 29 0.000000 30.000000 30.000000 0.000000 -30.000000 -30.000000
121 2 0.000000 75.000000 75.000000 0.000000 -75.000000 -75.000000
121 13 0.000000 15.000000 15.000000 0.000000 -15.000000 -15.000000
121 22 0.000000 150.000000 150.000000 0.000000 -150.000000 -150.000000
121 6 0.000000 120.000000 120.000000 0.000000 -120.000000 -120.000000
121 5 0.000000 15.000000 15.000000 0.000000 -15.000000 -15.000000
121 21 0.000000 75.000000 75.000000 0.000000 -75.000000 -75.000000
121 4 0.000000 75.000000 75.000000 0.000000 -75.000000 -75.000000
121 1 0.000000 210.000000 210.000000 0.000000 -210.000000 -210.000000
121 23 0.000000 165.000000 165.000000 2.518750 -165.000000 -167.518750
121 16 0.000000 150.000000 150.000000 2.518750 -150.000000 -152.518750
121 15 0.000000 120.000000 120.000000 2.518750 -120.000000 -122.518750
121 10 0.000000 105.000000 105.000000 2.518750 -105.000000 -107.518750
121 9 0.000000 75.000000 75.000000 2.518750 -75.000000 -77.518750
121 17 0.000000 165.000000 165.000000 2.518750 -165.000000 -167.518750
121 24 0.000000 165.000000 165.000000 2.518750 -165.000000 -167.518750
121 30 0.000000 105.000000 105.000000 2.518750 -105.000000 -107.518750
121 11 0.000000 60.000000 60.000000 2.518750 -60.000000 -62.518750
121 12 0.000000 60.000000 60.000000 2.518750 -60.000000 -62.518750
121 28 0.000000 15.000000 15.000000 2.518750 -15.000000 -17.518750
121 3 0.000000 210.000000 210.000000 2.518750 -210.000000 -212.518750
121 25 0.000000 210.000000 210.000000 2.518750 -210.000000 -212.518750
121 18 0.000000 120.000000 120.000000 2.518750 -120.000000 -122.518750
121 19 0.000000 15.000000 15.000000 2.518750 -15.000000 -17.518750
121 26 0.000000 150.000000 150.000000 2.518750 -150.000000 -152.518750
181 25 0.000000 200.000000 200.000000 2.518750 -200.000000 -202.518750
181 1 0.000000 190.000000 190.000000 0.000000 -190.000000 -190.000000
181 24 0.000000 165.000000 165.000000 2.518750 -165.000000 -167.518750
181 16 0.000000 150.000000 150.000000 2.518750 -150.000000 -152.518750
181 4 0.000000 75.000000 75.000000 0.000000 -75.000000 -75.000000
181 21 0.000000 75.000000 75.000000 0.000000 -75.000000 -75.000000
181 5 0.000000 15.000000 15.000000 0.000000 -15.000000 -15.000000
181 6 0.000000 120.000000 120.000000 0.000000 -120.000000 -120.000000
181 22 0.000000 150.000000 150.000000 0.000000 -150.000000 -150.000000
181 13 0.000000 15.000000 15.000000 0.000000 -15.000000 -15.000000
181 2 0.000000 75.000000 75.000000 0.000000 -75.000000 -75.000000
181 29 0.000000 30.000000 30.000000 0.000000 -30.000000 -30.000000
