IT_NO ID REVENUES OPERATING_COSTS LABOUR_COSTS TOTAL_INTEREST_PAYMENTS EBIT NET_EARNINGS
1 31 392.000000 350.000000 350.000000 17.500000 42.000000 24.500000
1 32 313.600000 280.000000 280.000000 14.000000 33.600000 19.600000
1 33 341.600000 305.000000 305.000000 15.250000 36.600000 21.350000
1 34 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 35 330.400000 295.000000 295.000000 14.750000 35.400000 20.650000
1 36 352.800000 315.000000 315.000000 15.750000 37.800000 22.050000
1 37 414.400000 370.000000 370.000000 18.500000 44.400000 25.900000
1 38 336.000000 300.000000 300.000000 15.000000 36.000000 21.000000
1 39 252.000000 225.000000 225.000000 11.250000 27.000000 15.750000
1 40 212.800000 190.000000 190.000000 9.500000 22.800000 13.300000
1 41 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 42 358.400000 320.000000 320.000000 16.000000 38.400000 22.400000
1 43 302.400000 270.000000 270.000000 13.500000 32.400000 18.900000
1 44 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 45 291.200000 260.000000 260.000000 13.000000 31.200000 18.200000
1 46 369.600000 330.000000 330.000000 16.500000 39.600000 23.100000
1 47 369.600000 330.000000 330.000000 16.500000 39.600000 23.100000
1 48 319.200000 285.000000 285.000000 14.250000 34.200000 19.950000
1 49 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 50 358.400000 320.000000 320.000000 16.000000 38.400000 22.400000
1 51 263.200000 235.000000 235.000000 11.750000 28.200000 16.450000
1 52 302.400000 270.000000 270.000000 13.500000 32.400000 18.900000
1 53 291.200000 260.000000 260.000000 13.000000 31.200000 18.200000
1 54 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 55 291.200000 260.000000 260.000000 13.000000 31.200000 18.200000
1 56 369.600000 330.000000 330.000000 16.500000 39.600000 23.100000
1 57 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 58 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 59 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 60 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 61 296.800000 265.000000 265.000000 13.250000 31.800000 18.550000
1 62 319.200000 285.000000 285.000000 14.250000 34.200000 19.950000
1 63 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 64 302.400000 270.000000 270.000000 13.500000 32.400000 18.900000
1 65 375.200000 335.000000 335.000000 16.750000 40.200000 23.450000
1 66 347.200000 310.000000 310.000000 15.500000 37.200000 21.700000
1 67 392.000000 350.000000 350.000000 17.500000 42.000000 24.500000
1 68 291.200000 260.000000 260.000000 13.000000 31.200000 18.200000
1 69 336.000000 300.000000 300.000000 15.000000 36.000000 21.000000
1 70 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 71 330.400000 295.000000 295.000000 14.750000 35.400000 20.650000
1 72 280.000000 250.000000 250.000000 12.500000 30.000000 17.500000
1 73 302.400000 270.000000 270.000000 13.500000 32.400000 18.900000
1 74 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 75 274.400000 245.000000 245.000000 12.250000 29.400000 17.150000
1 76 302.400000 270.000000 270.000000 13.500000 32.400000 18.900000
1 77 358.400000 320.000000 320.000000 16.000000 38.400000 22.400000
1 78 319.200000 285.000000 285.000000 14.250000 34.200000 19.950000
1 79 274.400000 245.000000 245.000000 12.250000 29.400000 17.150000
1 80 257.600000 230.000000 230.000000 11.500000 27.600000 16.100000
1 81 336.000000 300.000000 300.000000 15.000000 36.000000 21.000000
1 82 296.800000 265.000000 265.000000 13.250000 31.800000 18.550000
1 83 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 84 358.400000 320.000000 320.000000 16.000000 38.400000 22.400000
1 85 302.400000 270.000000 270.000000 13.500000 32.400000 18.900000
1 86 263.200000 235.000000 235.000000 11.750000 28.200000 16.450000
1 87 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 88 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 89 375.200000 335.000000 335.000000 16.750000 40.200000 23.450000
1 90 380.800000 340.000000 340.000000 17.000000 40.800000 23.800000
1 91 218.400000 195.000000 195.000000 9.750000 23.400000 13.650000
1 92 302.400000 270.000000 270.000000 13.500000 32.400000 18.900000
1 93 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 94 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 95 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 96 330.400000 295.000000 295.000000 14.750000 35.400000 20.650000
1 97 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 98 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 99 330.400000 295.000000 295.000000 14.750000 35.400000 20.650000
1 100 296.800000 265.000000 265.000000 13.250000 31.800000 18.550000
1 101 280.000000 250.000000 250.000000 12.500000 30.000000 17.500000
1 102 274.400000 245.000000 245.000000 12.250000 29.400000 17.150000
1 103 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 104 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 105 358.400000 320.000000 320.000000 16.000000 38.400000 22.400000
1 106 263.200000 235.000000 235.000000 11.750000 28.200000 16.450000
1 107 313.600000 280.000000 280.000000 14.000000 33.600000 19.600000
1 108 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 109 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 110 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 111 252.000000 225.000000 225.000000 11.250000 27.000000 15.750000
1 112 336.000000 300.000000 300.000000 15.000000 36.000000 21.000000
1 113 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 114 330.400000 295.000000 295.000000 14.750000 35.400000 20.650000
1 115 319.200000 285.000000 285.000000 14.250000 34.200000 19.950000
1 116 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 117 263.200000 235.000000 235.000000 11.750000 28.200000 16.450000
1 118 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 119 246.400000 220.000000 220.000000 11.000000 26.400000 15.400000
1 120 280.000000 250.000000 250.000000 12.500000 30.000000 17.500000
1 121 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 122 425.600000 380.000000 380.000000 19.000000 45.600000 26.600000
1 123 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 124 358.400000 320.000000 320.000000 16.000000 38.400000 22.400000
1 125 319.200000 285.000000 285.000000 14.250000 34.200000 19.950000
1 126 397.600000 355.000000 355.000000 17.750000 42.600000 24.850000
1 127 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 128 336.000000 300.000000 300.000000 15.000000 36.000000 21.000000
1 129 252.000000 225.000000 225.000000 11.250000 27.000000 15.750000
1 130 263.200000 235.000000 235.000000 11.750000 28.200000 16.450000
1 131 263.200000 235.000000 235.000000 11.750000 28.200000 16.450000
1 132 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 133 324.800000 290.000000 290.000000 14.500000 34.800000 20.300000
1 134 313.600000 280.000000 280.000000 14.000000 33.600000 19.600000
1 135 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 136 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 137 280.000000 250.000000 250.000000 12.500000 30.000000 17.500000
1 138 313.600000 280.000000 280.000000 14.000000 33.600000 19.600000
1 139 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 140 308.000000 275.000000 275.000000 13.750000 33.000000 19.250000
1 141 369.600000 330.000000 330.000000 16.500000 39.600000 23.100000
1 142 280.000000 250.000000 250.000000 12.500000 30.000000 17.500000
1 143 268.800000 240.000000 240.000000 12.000000 28.800000 16.800000
1 144 291.200000 260.000000 260.000000 13.000000 31.200000 18.200000
1 145 285.600000 255.000000 255.000000 12.750000 30.600000 17.850000
1 146 330.400000 295.000000 295.000000 14.750000 35.400000 20.650000
1 147 263.200000 235.000000 235.000000 11.750000 28.200000 16.450000
1 148 291.200000 260.000000 260.000000 13.000000 31.200000 18.200000
1 149 280.000000 250.000000 250.000000 12.500000 30.000000 17.500000
1 150 252.000000 225.000000 225.000000 11.250000 27.000000 15.750000
61 149 659.401412 740.000000 740.000000 6.296875 -80.598588 -86.895463
61 148 751.876765 775.000000 775.000000 6.548750 -23.123235 -29.671985
61 144 747.749149 775.000000 775.000000 6.548750 -27.250851 -33.799601
61 143 672.239499 710.000000 710.000000 6.045000 -37.760501 -43.805501
61 142 685.507608 735.000000 735.000000 6.296875 -49.492392 -55.789267
61 138 725.917016 820.000000 820.000000 7.052500 -94.082984 -101.135484
61 135 765.912792 820.000000 820.000000 6.926563 -54.087208 -61.013770
61 133 674.980038 845.000000 845.000000 7.304375 -170.019962 -177.324337
