IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 1 20 20 2 14
1 2 20 14 2 10
1 3 20 25 2 18
1 4 20 28 2 20
1 5 20 25 2 18
1 6 20 14 2 10
1 7 20 28 2 20
1 8 20 22 2 16
1 9 20 21 2 15
1 10 20 22 2 16
1 11 20 25 2 18
1 12 20 20 2 14
1 13 20 18 2 13
1 14 20 27 2 19
1 15 20 22 2 16
1 16 20 28 2 20
1 17 20 15 2 11
1 18 20 27 2 19
1 19 20 28 2 20
1 20 20 25 2 18
1 21 20 18 2 13
1 22 20 28 2 20
1 23 20 15 2 11
1 24 20 24 2 17
1 25 20 21 2 15
1 26 20 22 2 16
1 27 20 15 2 11
1 28 20 14 2 10
1 29 20 15 2 11
1 30 20 14 2 10
21 30 14 24 3 17
21 29 15 10 3 7
21 28 14 25 3 18
21 27 15 17 3 12
21 23 15 28 4 20
21 21 18 22 4 16
21 17 15 27 3 19
21 13 18 25 3 18
21 6 14 25 2 18
21 2 14 18 4 13
21 12 20 14 3 10
21 1 20 25 3 18
21 3 20 28 4 20
21 4 20 21 3 15
21 5 20 28 3 20
21 7 20 15 4 11
21 8 20 25 4 18
21 9 20 25 4 18
21 10 20 22 4 16
21 11 20 28 2 20
21 14 20 28 4 20
21 15 20 12 4 9
21 16 20 22 3 16
21 18 20 28 0 20
21 19 20 21 1 15
21 20 20 17 2 12
21 22 20 18 1 13
21 24 20 11 2 8
21 25 20 25 2 18
21 26 20 22 1 16
41 24 11 24 2 17
41 22 18 25 3 18
41 20 17 14 4 10
41 15 12 11 5 8
41 7 15 25 6 18
41 12 14 11 4 8
41 29 10 15 4 11
41 30 14 25 4 18
41 28 14 22 4 16
41 27 15 18 4 13
41 23 15 21 4 15
41 21 18 22 6 16
41 17 15 20 4 14
41 13 18 15 5 11
41 6 14 14 3 10
41 2 14 17 5 12
41 1 20 21 5 15
41 3 20 17 5 12
41 4 20 22 5 16
41 5 20 24 5 17
41 8 20 22 6 16
41 9 20 20 6 14
41 10 20 28 6 20
41 11 20 21 4 15
41 14 20 20 2 14
41 16 20 11 2 8
41 18 20 17 2 12
41 19 20 28 2 20
41 25 20 21 2 15
41 26 20 28 1 20
61 8 20 2 8 2
61 5 20 1 7 1
61 4 20 15 7 11
61 2 14 7 6 5
61 17 15 1 5 1
61 21 18 11 8 8
61 28 14 5 4 4
61 30 14 12 4 9
61 29 10 2 5 2
61 6 14 11 4 8
61 9 20 15 8 11
61 14 20 5 4 4
61 15 11 7 6 5
61 12 11 1 5 1
61 3 17 4 6 3
61 18 17 1 4 1
61 16 11 10 3 7
61 10 20 11 2 8
61 19 20 17 2 12
61 25 20 14 2 10
61 11 20 12 2 9
61 1 20 5 7 4
61 23 15 2 5 2
61 27 15 4 5 3
61 7 15 10 7 7
61 22 18 4 3 3
61 24 11 7 3 5
61 20 14 7 6 5
61 13 15 2 7 2
61 26 20 1 0 20
81 26 1 15 0 11
81 13 2 24 7 17
81 20 7 10 7 7
81 24 7 12 4 9
81 22 4 17 4 12
81 7 10 12 7 9
81 27 4 21 5 15
81 23 2 28 5 20
81 1 5 21 8 15
81 11 12 22 2 16
81 25 14 20 3 14
81 19 17 24 3 17
81 10 11 17 3 12
81 16 10 21 4 15
81 18 1 21 4 15
81 3 4 21 7 15
81 12 1 10 5 7
81 15 7 18 7 13
81 14 5 12 5 9
81 9 15 24 9 17
81 6 11 22 4 16
81 29 2 12 5 9
81 30 12 21 4 15
81 28 5 24 4 17
81 21 11 21 9 15
81 17 1 15 5 11
81 2 7 11 6 8
81 4 15 21 8 15
81 5 1 10 7 7
81 8 2 18 9 13
101 26 1 20 0 14
101 13 2 27 8 19
101 20 7 25 7 18
101 24 7 12 4 9
101 22 4 22 4 16
101 7 10 28 8 20
101 27 4 18 5 13
101 23 2 15 6 11
101 1 5 14 9 10
101 11 12 15 3 11
101 25 14 22 4 16
101 19 17 28 4 20
101 10 11 14 4 10
101 16 10 11 5 8
101 18 1 22 4 16
101 3 4 15 7 11
101 12 1 28 5 20
101 15 7 7 8 5
101 14 5 8 5 6
101 9 15 21 10 15
101 6 11 14 5 10
101 29 2 21 6 15
101 30 12 20 4 14
101 28 5 21 4 15
101 21 11 14 10 10
101 17 1 24 5 17
101 2 7 22 6 16
101 4 15 25 9 18
101 5 1 17 7 12
101 8 2 24 10 17
121 8 2 18 10 13
121 5 1 10 7 7
121 4 15 14 10 10
121 2 7 14 7 10
121 17 1 25 5 18
121 21 11 15 10 11
121 28 5 21 5 15
121 30 12 17 5 12
121 29 2 25 6 18
121 6 11 24 6 17
121 9 15 17 11 12
121 14 5 20 6 14
121 12 1 25 5 18
121 3 4 21 8 15
121 18 1 17 4 12
121 15 7 11 9 8
121 26 1 24 0 17
121 13 2 25 8 18
121 20 7 11 8 8
121 24 7 8 5 6
121 22 4 21 5 15
121 7 10 14 9 10
121 27 4 27 6 19
121 23 2 24 6 17
121 1 5 27 9 19
121 11 12 21 4 15
121 25 14 12 5 9
121 19 17 27 5 19
121 10 11 22 5 16
121 16 10 17 6 12
141 25 12 14 6 10
141 4 14 18 11 13
141 8 2 14 10 10
141 5 1 25 7 18
141 2 7 11 8 8
141 17 1 21 5 15
141 21 11 11 11 8
141 28 5 18 6 13
141 30 12 22 6 16
141 29 2 11 6 8
141 6 11 12 6 9
141 9 15 22 11 16
141 14 5 10 6 7
141 12 1 28 5 20
141 3 4 21 8 15
141 18 1 14 4 10
141 15 7 22 9 16
141 26 1 20 0 14
141 13 2 28 8 20
141 20 7 14 8 10
141 24 7 14 5 10
141 22 4 20 5 14
141 7 10 10 9 7
141 27 4 24 7 17
141 23 2 14 6 10
141 1 5 22 10 16
141 11 12 22 5 16
141 19 17 27 6 19
141 10 11 28 5 20
141 16 10 25 7 18
161 7 10 18 10 13
161 21 11 27 12 19
161 25 12 14 7 10
161 4 14 18 11 13
161 8 2 14 11 10
161 5 1 10 7 7
161 2 7 24 8 17
161 17 1 15 5 11
161 28 5 28 7 20
161 30 12 17 7 12
161 29 2 22 7 16
161 6 11 27 7 19
161 9 15 14 12 10
161 14 5 15 7 11
161 12 1 24 5 17
161 3 4 28 9 20
161 18 1 14 4 10
161 15 7 12 10 9
161 26 1 28 0 20
161 13 2 15 9 11
161 20 7 27 8 19
161 24 7 28 6 20
161 22 4 24 6 17
161 27 4 28 7 20
161 23 2 27 6 19
161 1 5 25 10 18
161 11 12 17 6 12
161 19 17 15 7 11
161 10 11 11 6 8
161 16 10 28 7 20
181 16 10 25 7 18
181 11 12 14 7 10
181 1 5 20 10 14
181 23 2 25 7 18
181 27 4 28 7 20
181 22 4 20 6 14
181 24 7 8 7 6
181 20 7 27 8 19
181 13 2 20 9 14
181 26 1 18 0 13
181 15 7 25 10 18
181 18 1 21 4 15
181 3 4 28 9 20
181 12 1 27 5 19
181 14 5 27 7 19
181 6 11 27 8 19
181 29 2 11 7 8
181 30 12 11 8 8
181 28 5 17 7 12
181 17 1 15 5 11
181 2 7 15 9 11
181 5 1 22 7 16
181 8 2 21 11 15
181 4 14 17 12 12
181 25 12 12 8 9
181 21 11 11 13 8
181 7 10 8 11 6
181 9 14 21 13 15
181 19 15 22 8 16
181 10 11 25 6 18
201 7 8 14 11 10
201 30 11 28 9 20
201 21 11 8 14 6
201 25 12 18 8 13
201 16 10 28 8 20
201 11 12 18 7 13
201 1 5 15 11 11
201 23 2 12 7 9
201 27 4 28 8 20
201 22 4 11 6 8
201 24 7 24 7 17
201 20 7 7 8 5
201 13 2 18 9 13
201 26 1 27 0 19
201 15 7 28 10 20
201 18 1 11 4 8
201 3 4 21 9 15
201 12 1 8 5 6
201 14 5 28 7 20
201 6 11 12 9 9
201 29 2 20 7 14
201 28 5 25 7 18
201 17 1 28 5 20
201 2 7 17 10 12
201 5 1 25 7 18
201 8 2 25 11 18
201 4 14 18 13 13
201 9 14 15 14 11
201 19 15 28 9 20
201 10 11 18 7 13
221 21 8 24 15 17
221 20 7 7 9 5
221 7 8 8 11 6
221 30 11 25 10 18
221 25 12 28 9 20
221 16 10 18 8 13
221 11 12 24 8 17
221 1 5 18 11 13
221 23 2 27 7 19
221 27 4 21 8 15
221 22 4 20 6 14
221 24 7 4 8 3
221 13 2 25 9 18
221 26 1 18 0 13
221 15 7 25 11 18
221 18 1 24 4 17
221 3 4 18 9 13
221 12 1 24 5 17
221 14 5 8 8 6
221 6 11 21 10 15
221 29 2 12 7 9
221 28 5 28 7 20
221 17 1 18 5 13
221 2 7 15 10 11
221 5 1 21 7 15
221 8 2 14 11 10
221 4 14 12 14 9
221 9 14 18 15 13
221 19 15 27 10 19
221 10 11 22 8 16
241 10 11 20 9 14
241 19 15 28 11 20
241 9 14 20 16 14
241 8 2 20 11 14
241 5 1 15 7 11
241 2 7 14 10 10
241 17 1 18 5 13
241 28 5 15 8 11
241 29 2 5 8 4
241 6 11 27 11 19
241 14 5 11 8 8
241 12 1 18 5 13
241 3 4 12 9 9
241 18 1 25 4 18
241 15 7 21 11 15
241 26 1 20 0 14
241 13 2 24 9 17
241 22 4 21 7 15
241 27 4 27 9 19
241 23 2 21 7 15
241 1 5 18 12 13
241 11 12 18 9 13
241 16 10 21 9 15
241 25 12 24 10 17
241 30 11 24 11 17
241 21 8 12 16 9
241 20 7 4 10 3
241 7 8 15 12 11
241 24 4 18 8 13
241 4 12 17 15 12
261 20 4 10 10 7
261 10 11 10 10 7
261 19 15 21 12 15
261 9 14 17 17 12
261 8 2 15 12 11
261 5 1 22 7 16
261 2 7 27 10 19
261 17 1 27 5 19
261 28 5 10 9 7
261 29 2 27 8 19
261 6 11 20 12 14
261 14 5 21 8 15
261 12 1 28 5 20
261 3 4 22 10 16
261 18 1 22 4 16
261 15 7 12 12 9
261 26 1 17 0 12
261 13 2 14 9 10
261 22 4 12 7 9
261 27 4 28 9 20
261 23 2 27 7 19
261 1 5 12 12 9
261 11 12 18 10 13
261 16 10 24 10 17
261 25 12 15 11 11
261 30 11 11 12 8
261 21 8 22 16 16
261 7 8 10 13 7
261 24 4 27 8 19
261 4 12 11 16 8
281 4 11 10 17 7
281 10 10 17 10 12
281 30 11 27 12 19
281 20 4 10 11 7
281 19 15 28 13 20
281 9 14 28 18 20
281 8 2 24 12 17
281 5 1 28 7 20
281 2 7 27 11 19
281 17 1 24 5 17
281 28 5 12 9 9
281 29 2 24 8 17
281 6 11 28 12 20
281 14 5 10 8 7
281 12 1 15 5 11
281 3 4 18 10 13
281 18 1 11 4 8
281 15 7 7 12 5
281 26 1 21 0 15
281 13 2 17 10 12
281 22 4 21 7 15
281 27 4 15 9 11
281 23 2 11 8 8
281 1 5 22 12 16
281 11 12 25 10 18
281 16 10 14 10 10
281 25 12 12 12 9
281 21 8 22 17 16
281 7 8 7 14 5
281 24 4 18 9 13
301 24 4 27 9 19
301 21 8 17 17 12
301 16 10 8 11 6
301 11 12 24 11 17
301 1 5 7 13 5
301 23 2 12 8 9
301 27 4 24 9 17
301 22 4 12 7 9
301 13 2 10 10 7
301 26 1 28 0 20
301 18 1 24 4 17
301 3 4 15 10 11
301 12 1 21 5 15
301 14 5 15 9 11
301 6 11 14 12 10
301 29 2 17 8 12
