IT_NO TRANSACTION_QUANTITY AVG_GOODS_PRICE
5 2581656 0.002842
10 2588856 0.002842
15 2583025 0.002842
20 3172794 0.002842
25 1846100 0.003670
30 1840402 0.003685
35 1732528 0.003914
40 1740419 0.004729
45 1470064 0.004382
50 1457154 0.004376
55 1452673 0.004390
60 1486444 0.004391
65 1478272 0.004015
70 1485178 0.004001
75 1474488 0.004030
80 1447659 0.004105
85 1518036 0.003868
90 1523517 0.003859
95 1527427 0.003849
100 1507162 0.003901
105 1525566 0.003808
110 1523004 0.003819
115 1520969 0.003824
120 1502781 0.003871
125 1552254 0.003715
130 1543523 0.003739
135 1531688 0.003768
140 1505738 0.003833
145 1411986 0.004008
150 1416302 0.004001
155 1394262 0.004064
160 1384105 0.004094
165 1376802 0.004080
170 1385070 0.004061
175 1385096 0.004061
180 1363828 0.004124
185 1389999 0.004012
190 1401816 0.003984
195 1377405 0.004055
200 1355230 0.004121
205 1338284 0.004186
210 1347887 0.004164
215 1343188 0.004178
220 1341444 0.004184
225 1345728 0.004190
230 1352236 0.004176
235 1346951 0.004193
240 1319668 0.004279
245 1337893 0.004243
250 1344030 0.004231
255 1335555 0.004258
260 1312587 0.004332
265 1281768 0.004450
270 1290436 0.004429
275 1285451 0.004445
280 1273086 0.004489
285 1271466 0.004507
290 1282561 0.004477
295 1269881 0.004521
300 1253871 0.004579
305 1276214 0.004517
310 1287794 0.004485
315 1274878 0.004530
320 1260638 0.004581
325 1153489 0.004963
330 1163144 0.004932
335 1155810 0.004962
340 1147132 0.004999
345 1138608 0.005008
350 1150064 0.004968
355 1147637 0.004979
360 1137257 0.005025
365 1141364 0.004977
370 1187834 0.004793
375 1169319 0.004867
380 53090 0.005704
385 875698 0.006109
390 964344 0.005572
395 964048 0.005572
400 274910 0.005626
405 821408 0.006146
410 909766 0.005572
415 910069 0.005570
420 437757 0.005605
425 708451 0.006670
430 783083 0.006058
435 72466 0.006062
440 0 0.006062
445 572929 0.007282
450 692164 0.006053
455 298907 0.006069
460 0 0.006069
465 494891 0.007476
470 614886 0.006048
475 454223 0.006069
480 0 0.006069
485 332000 0.008146
490 0 0.008146
495 0 0.008146
500 0 0.008146
505 332000 0.008785
510 0 0.008785
515 0 0.008785
520 0 0.008785
525 332000 0.008785
530 0 0.008785
535 0 0.008785
540 0 0.008785
545 320957 0.008879
550 11043 0.006050
555 0 0.006050
560 0 0.006050
565 332000 0.008785
570 0 0.008785
575 0 0.008785
580 0 0.008785
585 332000 0.008785
590 0 0.008785
595 0 0.008785
600 0 0.008785
605 332000 0.008785
610 0 0.008785
615 0 0.008785
620 0 0.008785
625 332000 0.008785
630 0 0.008785
635 0 0.008785
640 0 0.008785
645 332000 0.008785
650 0 0.008785
655 0 0.008785
660 0 0.008785
665 332000 0.008785
670 0 0.008785
675 0 0.008785
680 0 0.008785
685 332000 0.008785
690 0 0.008785
695 0 0.008785
700 0 0.008785
705 332000 0.008785
710 0 0.008785
715 0 0.008785
720 0 0.008785
725 332000 0.008785
730 0 0.008785
735 0 0.008785
740 0 0.008785
745 332000 0.008785
750 0 0.008785
755 0 0.008785
760 0 0.008785
765 332000 0.008785
770 0 0.008785
775 0 0.008785
780 0 0.008785
785 332000 0.006321
790 0 0.006321
795 0 0.006321
800 0 0.006321
805 332000 0.006321
810 0 0.006321
815 0 0.006321
820 0 0.006321
825 332000 0.006321
830 0 0.006321
835 0 0.006321
840 0 0.006321
845 332000 0.006321
850 0 0.006321
855 0 0.006321
860 0 0.006321
865 332000 0.006321
870 0 0.006321
875 0 0.006321
880 0 0.006321
885 332000 0.006321
890 0 0.006321
895 0 0.006321
900 0 0.006321
905 332000 0.006321
910 0 0.006321
915 0 0.006321
920 0 0.006321
925 332000 0.006321
930 0 0.006321
935 0 0.006321
940 0 0.006321
945 332000 0.006321
950 0 0.006321
955 0 0.006321
960 0 0.006321
965 332000 0.006321
970 0 0.006321
975 0 0.006321
980 0 0.006321
985 332000 0.006321
990 0 0.006321
995 0 0.006321
1000 0 0.006321
1005 332000 0.006321
1010 0 0.006321
1015 0 0.006321
1020 0 0.006321
1025 332000 0.006321
1030 0 0.006321
1035 0 0.006321
1040 0 0.006321
1045 332000 0.006321
1050 0 0.006321
1055 0 0.006321
1060 0 0.006321
1065 332000 0.006321
1070 0 0.006321
1075 0 0.006321
1080 0 0.006321
1085 332000 0.006321
1090 0 0.006321
1095 0 0.006321
1100 0 0.006321
1105 332000 0.006321
1110 0 0.006321
1115 0 0.006321
1120 0 0.006321
1125 332000 0.006321
1130 0 0.006321
1135 0 0.006321
1140 0 0.006321
1145 332000 0.006321
1150 0 0.006321
1155 0 0.006321
