IT_NO INTEREST_RATE INFLATION_RATE REVENUES TOTAL_COSTS NET_EARNINGS TOTAL_ASSETS LIQUIDITY LOANS_BANKS LOANS_GOVERNMENT EQUITY FIAT_MONEY LIQUIDITY_BANKS LIQUIDITY_GOVERNMENT
1 0.020000 0.020000 43278.653000 0.000000 0.000000 4141740.619667 2163932.650000 1977807.969667 0.000000 2163932.650000 -186124.680333 2163932.650000 0.000000
61 0.005000 0.000000 9889.039848 0.000000 0.000000 4111578.512243 2163932.650000 1947645.862243 0.000000 2163932.650000 -216286.787757 2163932.650000 0.000000
121 0.005000 -0.281286 9738.229311 0.000000 0.000000 4067294.819346 2163932.650000 1903362.169346 0.000000 2163932.650000 -260570.480654 2163932.650000 0.000000
181 0.005000 -0.341897 9516.810847 0.000000 0.000000 4029252.934394 2163932.650000 1865320.284394 0.000000 2163932.650000 -298612.365606 2163932.650000 0.000000
241 0.005000 -0.245572 9326.601422 0.000000 0.000000 3984927.337759 2163932.650000 1820994.687759 0.000000 2163932.650000 -342937.962241 2163932.650000 0.000000
301 0.005000 -0.254492 9104.973439 0.000000 0.000000 3942889.323744 2163932.650000 1778956.673744 0.000000 2163932.650000 -384975.976256 2163932.650000 0.000000
361 0.005000 0.025126 8894.783369 0.000000 0.000000 3904709.003755 2163932.650000 1740776.353755 0.000000 2163932.650000 -423156.296245 2163932.650000 0.000000
421 0.050000 0.332617 87038.817688 0.000000 0.000000 3945575.385069 2163932.650000 1781642.735069 0.000000 2163932.650000 -382289.914931 2163932.650000 0.000000
481 0.050000 0.337918 89082.136753 0.000000 0.000000 3975286.309713 2163932.650000 1811353.659713 0.000000 2163932.650000 -352578.990287 2163932.650000 0.000000
541 0.050000 0.489388 90567.682986 0.000000 0.000000 3988557.756869 2163932.650000 1824625.106869 0.000000 2163932.650000 -339307.543131 2163932.650000 0.000000
601 0.050000 1.052108 91231.255343 0.000000 0.000000 3988382.469538 2163932.650000 1824449.819538 0.000000 2163932.650000 -339482.830462 2163932.650000 0.000000
661 0.050000 0.877345 91222.490977 0.000000 0.000000 3988866.045259 2163932.650000 1824933.395259 0.000000 2163932.650000 -338999.254741 2163932.650000 0.000000
721 0.050000 0.641150 91246.669763 0.000000 0.000000 3989408.012005 2163932.650000 1825475.362005 0.000000 2163932.650000 -338457.287995 2163932.650000 0.000000
781 0.050000 0.479560 91273.768100 0.000000 0.000000 3990029.200432 2163932.650000 1826096.550432 0.000000 2163932.650000 -337836.099568 2163932.650000 0.000000
841 0.005000 0.000000 9130.482752 0.000000 0.000000 3908553.530133 2163932.650000 1744620.880133 0.000000 2163932.650000 -419311.769867 2163932.650000 0.000000
901 0.005000 -0.309287 8723.104401 0.000000 0.000000 3824753.686622 2163932.650000 1660821.036622 0.000000 2163932.650000 -503111.613378 2163932.650000 0.000000
961 0.005000 -0.309287 8304.105183 0.000000 0.000000 3740603.325212 2163932.650000 1576670.675212 0.000000 2163932.650000 -587261.974788 2163932.650000 0.000000
1021 0.005000 -0.309287 7883.353376 0.000000 0.000000 3656172.586575 2163932.650000 1492239.936575 0.000000 2163932.650000 -671692.713425 2163932.650000 0.000000
1081 0.005000 -0.309287 7461.199683 0.000000 0.000000 3571369.194245 2163932.650000 1407436.544245 0.000000 2163932.650000 -756496.105755 2163932.650000 0.000000
1141 0.005000 -0.000000 7037.182721 0.000000 0.000000 3485986.161981 2163932.650000 1322053.511981 0.000000 2163932.650000 -841879.138019 2163932.650000 0.000000
1201 0.005000 -0.000000 6610.267560 0.000000 0.000000 3400209.935906 2163932.650000 1236277.285906 0.000000 2163932.650000 -927655.364094 2163932.650000 0.000000
1261 0.005000 -0.000000 6181.386430 0.000000 0.000000 3314012.730323 2163932.650000 1150080.080323 0.000000 2163932.650000 -1013852.569677 2163932.650000 0.000000
1321 0.005000 0.000000 5750.400402 0.000000 0.000000 3227730.332382 2163932.650000 1063797.682382 0.000000 2163932.650000 -1100134.967618 2163932.650000 0.000000
1381 0.005000 0.000000 5318.988412 0.000000 0.000000 3140701.656952 2163932.650000 976769.006952 0.000000 2163932.650000 -1187163.643048 2163932.650000 0.000000
1441 0.005000 -0.000000 4883.845035 0.000000 0.000000 3052830.029136 2163932.650000 888897.379136 0.000000 2163932.650000 -1275035.270864 2163932.650000 0.000000
1501 0.005000 -0.000000 4444.486896 0.000000 0.000000 2964783.828523 2163932.650000 800851.178523 0.000000 2163932.650000 -1363081.471477 2163932.650000 0.000000
1561 0.005000 0.000000 4004.255893 0.000000 0.000000 2876199.761065 2163932.650000 712267.111065 0.000000 2163932.650000 -1451665.538935 2163932.650000 0.000000
1621 0.005000 0.000000 3561.335555 0.000000 0.000000 2787262.453417 2163932.650000 623329.803417 0.000000 2163932.650000 -1540602.846583 2163932.650000 0.000000
1681 0.005000 0.000000 3116.649017 0.000000 0.000000 2697839.890637 2163932.650000 533907.240637 0.000000 2163932.650000 -1630025.409363 2163932.650000 0.000000
1741 0.005000 -0.000000 2669.536203 0.000000 0.000000 2607898.457325 2163932.650000 443965.807325 0.000000 2163932.650000 -1719966.842675 2163932.650000 0.000000
1801 0.005000 0.000000 2219.829037 0.000000 0.000000 2517410.310175 2163932.650000 353477.660175 0.000000 2163932.650000 -1810454.989825 2163932.650000 0.000000
1861 0.005000 0.000000 1767.388301 0.000000 0.000000 2426566.728961 2163932.650000 262634.078961 0.000000 2163932.650000 -1901298.571039 2163932.650000 0.000000
1921 0.005000 -0.000000 1313.170395 0.000000 0.000000 2335171.923169 2163932.650000 171239.273169 0.000000 2163932.650000 -1992693.376831 2163932.650000 0.000000
1981 0.005000 -0.000000 856.196366 0.000000 0.000000 2243417.150020 2163932.650000 79484.500020 0.000000 2163932.650000 -2084448.149980 2163932.650000 0.000000
2041 0.005000 0.000000 397.422500 0.000000 0.000000 2169595.860905 2163932.650000 5663.210905 0.000000 2163932.650000 -2158269.439095 2163932.650000 0.000000
2101 0.005000 0.000000 28.316055 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2161 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2221 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2281 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2341 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2401 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2461 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2521 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2581 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2641 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2701 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2761 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2821 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2881 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
2941 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3001 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3061 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3121 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3181 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3241 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3301 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3361 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3421 0.005000 -0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3481 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
3541 0.005000 0.000000 0.000000 0.000000 0.000000 2163932.650000 2163932.650000 -0.000000 0.000000 2163932.650000 -2163932.650000 2163932.650000 0.000000
