IT_NO ID NO_EMPLOYEES EMPLOYEES_NEEDED INVENTORY PRODUCTION_PLAN
1 150 54 54 108000 54000
1 149 56 56 112000 56000
1 148 51 51 102000 51000
1 147 56 56 112000 56000
1 146 61 61 122000 61000
1 145 70 70 140000 70000
1 144 56 56 112000 56000
1 143 56 56 112000 56000
1 142 46 46 92000 46000
1 141 63 63 126000 63000
1 140 60 60 120000 60000
1 139 64 64 128000 64000
1 138 57 57 114000 57000
1 137 60 60 120000 60000
1 136 59 59 118000 59000
1 135 58 58 116000 58000
1 134 46 46 92000 46000
1 133 60 60 120000 60000
1 132 59 59 118000 59000
1 131 53 53 106000 53000
1 130 57 57 114000 57000
1 129 64 64 128000 64000
1 128 55 55 110000 55000
1 127 58 58 116000 58000
1 126 61 61 122000 61000
1 125 60 60 120000 60000
1 124 43 43 86000 43000
1 123 53 53 106000 53000
1 122 62 62 124000 62000
1 121 52 52 104000 52000
1 120 59 59 118000 59000
1 119 52 52 104000 52000
1 118 60 60 120000 60000
1 117 51 51 102000 51000
1 116 61 61 122000 61000
1 115 51 51 102000 51000
1 114 47 47 94000 47000
1 113 62 62 124000 62000
1 112 56 56 112000 56000
1 111 57 57 114000 57000
1 110 53 53 106000 53000
1 109 58 58 116000 58000
1 108 57 57 114000 57000
1 107 58 58 116000 58000
1 106 43 43 86000 43000
1 105 60 60 120000 60000
1 104 55 55 110000 55000
1 103 43 43 86000 43000
1 102 55 55 110000 55000
1 101 48 48 96000 48000
1 100 54 54 108000 54000
1 99 60 60 120000 60000
1 98 53 53 106000 53000
1 97 52 52 104000 52000
1 96 58 58 116000 58000
1 95 59 59 118000 59000
1 94 55 55 110000 55000
1 93 73 73 146000 73000
1 92 56 56 112000 56000
1 91 59 59 118000 59000
1 90 51 51 102000 51000
1 89 52 52 104000 52000
1 88 58 58 116000 58000
1 87 48 48 96000 48000
1 86 66 66 132000 66000
1 85 52 52 104000 52000
1 84 46 46 92000 46000
1 83 53 53 106000 53000
1 82 54 54 108000 54000
1 81 65 65 130000 65000
1 80 55 55 110000 55000
1 79 52 52 104000 52000
1 78 61 61 122000 61000
1 77 56 56 112000 56000
1 76 67 67 134000 67000
1 75 63 63 126000 63000
1 74 53 53 106000 53000
1 73 51 51 102000 51000
1 72 47 47 94000 47000
1 71 52 52 104000 52000
1 70 61 61 122000 61000
1 69 51 51 102000 51000
1 68 46 46 92000 46000
1 67 53 53 106000 53000
1 66 53 53 106000 53000
1 65 62 62 124000 62000
1 64 40 40 80000 40000
1 63 60 60 120000 60000
1 62 50 50 100000 50000
1 61 57 57 114000 57000
1 60 51 51 102000 51000
1 59 43 43 86000 43000
1 58 48 48 96000 48000
1 57 55 55 110000 55000
1 56 40 40 80000 40000
1 55 66 66 132000 66000
1 54 51 51 102000 51000
1 53 47 47 94000 47000
1 52 43 43 86000 43000
1 51 54 54 108000 54000
1 50 56 56 112000 56000
1 49 55 55 110000 55000
1 48 70 70 140000 70000
1 47 54 54 108000 54000
1 46 54 54 108000 54000
1 45 54 54 108000 54000
1 44 48 48 96000 48000
1 43 63 63 126000 63000
1 42 52 52 104000 52000
1 41 48 48 96000 48000
1 40 52 52 104000 52000
1 39 48 48 96000 48000
1 38 69 69 138000 69000
1 37 55 55 110000 55000
1 36 46 46 92000 46000
1 35 62 62 124000 62000
1 34 60 60 120000 60000
1 33 51 51 102000 51000
1 32 41 41 82000 41000
1 31 55 55 110000 55000
21 150 54 59 62670 58533
21 149 56 62 57818 61418
21 148 51 48 114160 47352
21 147 56 60 75626 59637
21 146 61 65 88933 64306
21 145 70 75 99648 74035
21 144 56 54 120461 53461
21 143 56 62 56926 61507
21 142 46 51 46000 50600
21 141 63 66 102112 65388
21 140 60 63 94368 62563
21 139 64 68 88069 67993
21 138 57 62 68897 61510
21 137 60 64 83401 63659
21 136 59 57 125309 56807
21 135 58 64 62094 63390
21 134 46 51 46000 50600
21 133 60 66 64550 65545
21 132 59 65 59726 64827
21 131 53 59 53000 58300
21 130 57 62 67184 61681
21 129 64 68 96817 67118
21 128 55 60 61435 59856
21 127 58 64 63757 63224
21 126 61 56 140208 55537
21 125 60 65 74676 64532
21 124 43 43 88664 42200
21 123 53 59 53000 58300
21 122 62 65 94841 64915
21 121 52 58 53033 57096
21 120 59 65 59000 64900
21 119 52 58 52000 57200
21 118 60 65 77777 64222
21 117 51 46 125640 45900
21 116 61 64 95052 63694
21 115 51 56 54882 55711
21 114 47 52 47000 51700
21 113 62 66 86617 65738
21 112 56 62 56448 61555
21 111 57 62 69053 61494
21 110 53 58 57983 57801
21 109 58 54 131701 53289
21 108 57 62 71458 61254
21 107 58 64 59564 63643
21 106 43 48 43000 47300
21 105 60 66 67031 65296
21 104 55 52 122806 51158
21 103 43 48 43000 47300
21 102 55 61 55114 60488
21 101 48 53 48000 52800
21 100 54 50 124439 49068
21 99 60 66 69421 65057
21 98 53 58 59041 57695
21 97 52 58 52000 57200
21 96 58 63 74097 62190
21 95 59 64 76467 63153
21 94 55 61 55000 60500
21 93 73 75 134004 74199
21 92 56 53 122553 52834
21 91 59 54 146248 53100
21 90 51 57 51000 56100
21 89 52 58 52000 57200
21 88 58 64 58000 63800
21 87 48 53 48000 52800
21 86 66 71 84465 70753
21 85 52 48 118997 47500
21 84 46 47 88779 46322
21 83 53 57 71892 56410
21 82 54 60 55293 59270
21 81 65 69 96178 68382
21 80 55 60 61372 59862
21 79 52 58 52000 57200
21 78 61 66 75785 65621
21 77 56 62 57386 61461
21 76 67 71 102753 70124
21 75 63 69 66317 68968
21 74 53 59 53000 58300
21 73 51 48 114284 47314
21 72 47 52 47000 51700
21 71 52 58 52000 57200
21 70 61 66 81234 65076
21 69 51 57 51000 56100
21 68 46 51 46000 50600
21 67 53 59 53000 58300
21 66 53 59 53000 58300
21 65 62 56 146466 55800
21 64 40 44 40000 44000
21 63 60 65 78654 64134
21 62 50 55 50000 55000
21 61 57 62 69047 61495
21 60 51 56 52658 55934
21 59 43 48 43000 47300
21 58 48 53 48000 52800
21 57 55 61 55000 60500
