IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1 31 0.000000 19.250000
1 32 0.000000 14.350000
1 33 0.000000 17.850000
1 34 0.000000 21.000000
1 35 0.000000 21.700000
1 36 0.000000 16.100000
1 37 0.000000 19.250000
1 38 0.000000 24.150000
1 39 0.000000 16.800000
1 40 0.000000 18.200000
1 41 0.000000 16.800000
1 42 0.000000 18.200000
1 43 0.000000 22.050000
1 44 0.000000 16.800000
1 45 0.000000 18.900000
1 46 0.000000 18.900000
1 47 0.000000 18.900000
1 48 0.000000 24.500000
1 49 0.000000 19.250000
1 50 0.000000 19.600000
1 51 0.000000 18.900000
1 52 0.000000 15.050000
1 53 0.000000 16.450000
1 54 0.000000 17.850000
1 55 0.000000 23.100000
1 56 0.000000 14.000000
1 57 0.000000 19.250000
1 58 0.000000 16.800000
1 59 0.000000 15.050000
1 60 0.000000 17.850000
1 61 0.000000 19.950000
1 62 0.000000 17.500000
1 63 0.000000 21.000000
1 64 0.000000 14.000000
1 65 0.000000 21.700000
1 66 0.000000 18.550000
1 67 0.000000 18.550000
1 68 0.000000 16.100000
1 69 0.000000 17.850000
1 70 0.000000 21.350000
1 71 0.000000 18.200000
1 72 0.000000 16.450000
1 73 0.000000 17.850000
1 74 0.000000 18.550000
1 75 0.000000 22.050000
1 76 0.000000 23.450000
1 77 0.000000 19.600000
1 78 0.000000 21.350000
1 79 0.000000 18.200000
1 80 0.000000 19.250000
1 81 0.000000 22.750000
1 82 0.000000 18.900000
1 83 0.000000 18.550000
1 84 0.000000 16.100000
1 85 0.000000 18.200000
1 86 0.000000 23.100000
1 87 0.000000 16.800000
1 88 0.000000 20.300000
1 89 0.000000 18.200000
1 90 0.000000 17.850000
1 91 0.000000 20.650000
1 92 0.000000 19.600000
1 93 0.000000 25.550000
1 94 0.000000 19.250000
1 95 0.000000 20.650000
1 96 0.000000 20.300000
1 97 0.000000 18.200000
1 98 0.000000 18.550000
1 99 0.000000 21.000000
1 100 0.000000 18.900000
1 101 0.000000 16.800000
1 102 0.000000 19.250000
1 103 0.000000 15.050000
1 104 0.000000 19.250000
1 105 0.000000 21.000000
1 106 0.000000 15.050000
1 107 0.000000 20.300000
1 108 0.000000 19.950000
1 109 0.000000 20.300000
1 110 0.000000 18.550000
1 111 0.000000 19.950000
1 112 0.000000 19.600000
