IT_NO TRANSACTION_QUANTITY AVG_HOUSING_PRICE
1 1196 99.995819
21 1092 99.995819
41 794 99.983225
61 0 99.983225
81 0 99.983225
101 0 99.983225
121 0 99.983225
141 0 99.983225
161 0 99.983225
181 0 99.983225
201 0 99.983225
221 0 99.983225
241 0 99.983225
261 0 99.983225
281 0 99.983225
301 0 99.983225
321 0 99.983225
341 0 99.983225
361 0 99.983225
381 0 99.983225
401 0 99.983225
421 0 99.983225
441 0 99.983225
461 0 99.983225
481 0 99.983225
501 0 99.983225
521 0 99.983225
541 0 99.983225
561 0 99.983225
581 0 99.983225
601 0 99.983225
621 0 99.983225
641 0 99.983225
661 0 99.983225
681 0 99.983225
701 0 99.983225
721 0 99.983225
741 0 99.983225
761 0 99.983225
781 0 99.983225
801 0 99.983225
821 0 99.983225
841 0 99.983225
861 0 99.983225
881 0 99.983225
901 0 99.983225
921 0 99.983225
941 0 99.983225
961 2 94.984064
981 12 90.234861
1001 27 85.723118
1021 33 81.436962
1041 33 77.365114
1061 36 73.496858
1081 28 69.822015
1101 22 66.330915
1121 19 63.014369
1141 22 59.863650
1161 28 56.870468
1181 37 54.026944
1201 34 51.325597
1221 33 48.759317
1241 28 46.321352
1261 34 44.005284
1281 41 41.805020
1301 44 39.714769
1321 38 37.729030
1341 46 35.842579
1361 35 34.050450
1381 44 32.347927
1401 47 30.730531
1421 33 29.194004
1441 44 27.734304
1461 41 26.347589
1481 44 25.030210
1501 55 23.778699
1521 43 22.589764
1541 47 21.460276
1561 49 20.387262
1581 53 19.367899
1601 46 18.399504
1621 45 17.479529
1641 47 16.605552
1661 47 15.775275
1681 42 14.986511
1701 50 14.237186
1721 53 13.525326
1741 48 12.849060
1761 55 12.206607
1781 44 11.596277
1801 42 11.016463
1821 51 10.465640
1841 47 9.942358
1861 49 9.445240
1881 38 8.972978
1901 37 8.524329
1921 50 8.098112
1941 58 7.693207
1961 46 7.308546
1981 43 6.943119
2001 41 6.595963
2021 46 6.266165
2041 51 5.952857
2061 41 5.655214
2081 54 5.372453
2101 49 5.103831
2121 39 4.848639
2141 53 4.606207
2161 42 4.375897
2181 40 4.157102
2201 40 3.949247
2221 36 3.751784
2241 45 3.564195
2261 23 3.385985
2281 41 3.216686
2301 34 3.055852
2321 39 2.903059
2341 30 2.757906
2361 31 2.620011
2381 33 2.489010
2401 44 2.364560
2421 25 2.246332
2441 32 2.134015
2461 28 2.027315
2481 26 1.925949
2501 28 1.829651
2521 28 1.738169
2541 27 1.651260
2561 25 1.568697
2581 23 1.490263
2601 23 1.415749
2621 23 1.344962
2641 22 1.277714
2661 20 1.213828
2681 15 1.153137
2701 21 1.095480
2721 19 1.040706
2741 10 0.988671
2761 9 0.939237
2781 18 0.892275
2801 16 0.847661
2821 20 0.805278
2841 14 0.765014
2861 12 0.726764
2881 13 0.690426
2901 14 0.655904
2921 11 0.623109
2941 13 0.591954
2961 10 0.562356
2981 8 0.534238
3001 8 0.507526
3021 10 0.482150
3041 7 0.458042
3061 6 0.435140
3081 3 0.413383
3101 8 0.392714
3121 5 0.373078
3141 7 0.354424
3161 2 0.336703
3181 6 0.319868
3201 3 0.303875
3221 4 0.288681
3241 1 0.274247
3261 2 0.260535
3281 2 0.260535
3301 3 0.247508
3321 3 0.247508
3341 1 0.235132
3361 1 0.223376
3381 3 0.212207
3401 2 0.201597
3421 1 0.191517
3441 1 0.191517
3461 1 0.181941
3481 1 0.181941
3501 1 0.181941
3521 1 0.172844
3541 1 0.164202
3561 1 0.164202
3581 1 0.164202
