IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 157 1183926.666667 0.000000 120566.666667 1063360.000000 55581.950000 1020442.892333 107901.824333
1 156 1110106.666667 0.000000 119466.666667 990640.000000 51578.400000 957365.077333 101163.189333
61 157 1170372.811533 0.000000 121470.916667 1048901.894867 86993.552881 1001893.800777 81485.457876
61 156 1099359.499589 0.000000 120362.666667 978996.832923 79790.424697 946302.546533 73266.528359
121 157 978398.359345 0.000000 79122.884188 899275.475157 104409.094861 980049.653357 -106060.388874
121 156 915127.571181 0.000000 81679.644851 833447.926330 95972.405118 926011.290695 -106856.124632
181 157 817841.970826 0.000000 12837.964117 805004.006708 123235.886936 958254.690614 -263648.606724
181 156 780730.569476 0.000000 23349.673151 757380.896325 113720.573170 905808.270856 -238798.274550
241 157 753537.079717 0.000000 1802.823937 751734.255781 142714.013206 935717.276967 -324894.210455
241 156 715415.148967 0.000000 3349.232611 712065.916356 131818.864968 885168.771751 -301572.487751
301 157 722578.172794 0.000000 2153.773353 720424.399441 161152.808516 914804.658705 -353379.294426
301 156 683499.682234 0.000000 4717.078279 678782.603955 148982.506292 866704.065364 -332186.889422
361 157 677219.712935 0.000000 3880.082465 673339.630471 178847.058786 896238.002928 -397865.348779
361 156 640795.130335 0.000000 6514.843390 634280.286945 165547.618078 849511.595697 -374264.083440
421 157 570126.511598 0.000000 10685.173231 559441.338367 201917.627023 918038.085019 -549829.200444
421 156 536486.905842 0.000000 13491.294157 522995.611685 187591.136839 870619.683233 -521723.914229
481 157 283238.746132 0.000000 16056.877893 267181.868239 224184.052045 931715.022531 -872660.328444
481 156 280929.489029 0.000000 19773.772984 261155.716045 208098.423762 885162.482430 -812331.417164
541 157 108359.840700 0.000000 23423.285324 84936.555376 253388.408782 938299.348436 -1083327.916519
541 156 112182.696507 0.000000 24359.553525 87823.142982 234914.022211 889723.129125 -1012454.454829
601 157 79180.655306 0.000000 23423.285324 55757.369982 285409.039296 938310.083265 -1144538.467255
601 156 84923.891275 0.000000 24359.553525 60564.337750 264291.393496 890462.619963 -1069830.122184
661 157 78407.044601 0.000000 23423.285324 54983.759277 330117.851893 938640.238663 -1190351.045955
661 156 82743.878699 0.000000 24359.553525 58384.325174 305396.382777 891377.671470 -1114030.175548
721 157 76550.053316 0.000000 23423.285324 53126.767992 375190.238830 938866.245261 -1237506.430775
721 156 81803.995926 0.000000 24359.553525 57444.442401 347518.448160 892297.195001 -1158011.647235
781 157 75091.120366 0.000000 23423.285324 51667.835042 420252.123302 939222.703868 -1284383.706804
781 156 81218.275134 0.000000 24359.553525 56858.721609 389559.919121 893277.478028 -1201619.122014
841 157 74359.521338 0.000000 23423.285324 50936.236014 465255.902492 897286.221885 -1288182.603039
841 156 80577.600828 0.000000 24359.553525 56218.047303 431565.698939 854292.065542 -1205280.163653
901 157 72303.586450 0.000000 23423.285324 48880.301126 512225.783041 854180.064266 -1294102.260857
901 156 77303.591579 0.000000 24359.553525 52944.038054 475564.571234 813882.336258 -1212143.315913
961 157 68387.997387 0.000000 23423.285324 44964.712063 558776.699511 810657.674074 -1301046.376198
961 156 69437.094627 0.000000 24359.553525 45077.541102 518222.171466 773526.002113 -1222311.078952
1021 157 67696.386777 0.000000 23423.285324 44273.101453 606429.416668 766489.039739 -1305222.069630
1021 156 67814.039392 0.000000 24359.553525 43454.485867 561025.150110 733855.260984 -1227066.371702
1081 157 67082.970494 0.000000 23423.285324 43659.685170 653338.338426 722690.847142 -1308946.215073
1081 156 66378.459537 0.000000 24359.553525 42018.906012 604939.674223 692813.881240 -1231375.095927
1141 157 65753.109844 0.000000 23423.285324 42329.824520 699209.384337 678746.422411 -1312202.696905
1141 156 64811.138742 0.000000 24359.553525 40451.585217 648070.940251 651471.499785 -1234731.301294
1201 157 65898.963206 0.000000 23758.842664 42140.120541 746556.856675 634586.136824 -1315244.030293
1201 156 64629.861279 0.000000 24359.553525 40270.307753 692022.524073 610251.825265 -1237644.488060
1261 157 65875.852248 0.000000 23926.621335 41949.230913 794004.717791 589935.624021 -1318064.489564
1261 156 64615.229501 0.000000 24527.332195 40087.897306 735850.905904 569117.033034 -1240352.709437
1321 157 66019.326900 0.000000 24262.178675 41757.148225 841700.461321 544981.125740 -1320662.260161
1321 156 64599.457658 0.000000 24695.110866 39904.346793 779395.406975 528059.818431 -1242855.767748
1381 157 65826.043695 0.000000 24262.178675 41563.865020 889083.304990 499777.939148 -1323035.200443
1381 156 64582.538625 0.000000 24862.889536 39719.649089 823266.822909 486469.773723 -1245154.058007
1441 157 65314.729728 0.000000 24262.178675 41052.551053 935668.627198 454829.766920 -1325183.664391
1441 156 64238.275190 0.000000 24862.889536 39375.385654 867357.807752 444125.390671 -1247244.923233
1501 157 65120.524209 0.000000 24262.178675 40858.345533 982986.306617 409244.469202 -1327110.251611
1501 156 64052.012188 0.000000 24862.889536 39189.122652 911260.588390 401917.641988 -1249126.218190
1561 157 64925.104905 0.000000 24262.178675 40662.926230 1030366.823836 363368.407196 -1328810.126127
1561 156 64032.363713 0.000000 25030.668206 39001.695507 955064.532885 359765.469376 -1250797.638548
1621 157 64572.318878 0.000000 24262.178675 40310.140203 1077194.510037 317659.650545 -1330281.841705
1621 156 63843.765148 0.000000 25030.668206 38813.096942 999287.146389 316815.459051 -1252258.840292
1681 157 64219.833448 0.000000 24262.178675 39957.654773 1124148.753839 271598.948626 -1331527.869017
1681 156 63498.607290 0.000000 25030.668206 38467.939084 1043170.623446 273835.105176 -1253507.121331
1741 157 63867.655274 0.000000 24262.178675 39605.476599 1171390.149079 225022.651443 -1332545.145247
1741 156 63308.413457 0.000000 25030.668206 38277.745251 1087014.314420 230836.106269 -1254542.007232
1801 157 63515.791087 0.000000 24262.178675 39253.612412 1218304.003966 178543.528227 -1333331.741106
1801 156 62963.194331 0.000000 25030.668206 37932.526125 1130931.818462 187395.106931 -1255363.731062
1861 157 62692.208704 0.000000 24262.178675 38430.030029 1265020.836927 131561.141673 -1333889.769896
