IT_NO ID ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_HOUSE_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL_CONSTRUCTION DEBT
1 30 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 29 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 28 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 27 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 26 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 25 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 24 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 23 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 22 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 21 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 20 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 19 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 18 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 17 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 16 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 15 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 14 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 13 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 12 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 11 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 10 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 9 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 8 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 7 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 6 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 5 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 4 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 3 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 2 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
1 1 0 0 833.880000 -105.000000 1 100.000000 0.560000 1498 1498 671.666667
61 2 0 0 1438.724609 0.000000 6 99.974102 0.560000 1498 1498 671.666667
61 5 0 0 1138.802305 0.000000 3 99.974102 0.560000 1498 1498 671.666667
61 23 0 0 1238.776406 0.000000 4 99.974102 0.560000 1498 1498 671.666667
61 3 0 0 1338.750508 0.000000 5 99.974102 0.560000 1498 1498 671.666667
61 28 0 0 881.332787 42.452787 0 99.974102 0.560000 1498 1498 671.666667
61 18 0 0 931.304324 92.424324 0 99.974102 0.560000 1498 1498 671.666667
61 21 0 0 1061.309453 22.481250 2 99.974102 0.560000 1498 1498 671.666667
61 25 0 0 1121.309453 82.481250 2 99.974102 0.560000 1498 1498 671.666667
61 27 1 0 873.854102 -65.000000 1 99.974102 0.560000 1498 1498 2666.666667
61 26 1 0 858.854102 -80.000000 1 99.974102 0.560000 1498 1498 1666.666667
61 19 1 0 983.828203 -55.000000 2 99.974102 0.560000 1498 1498 3333.333333
61 11 0 0 928.828203 -110.000000 2 99.974102 0.560000 1498 1498 0.000000
61 10 0 0 1063.776406 -175.000000 4 99.974102 0.560000 1498 1498 0.000000
61 9 0 0 1083.724609 -355.000000 6 99.974102 0.560000 1498 1498 0.000000
61 8 0 0 1048.724609 -390.000000 6 99.974102 0.560000 1498 1498 0.000000
61 6 0 0 893.776406 -345.000000 4 99.974102 0.560000 1498 1498 0.000000
61 1 0 0 998.750508 -340.000000 5 99.974102 0.560000 1498 1498 0.000000
61 4 0 0 1008.750508 -330.000000 5 99.974102 0.560000 1498 1498 0.000000
61 12 0 0 953.802305 -185.000000 3 99.974102 0.560000 1498 1498 0.000000
61 20 0 0 1158.724609 -280.000000 6 99.974102 0.560000 1498 1498 0.000000
61 22 0 0 958.776406 -280.000000 4 99.974102 0.560000 1498 1498 0.000000
61 24 0 0 868.802305 -270.000000 3 99.974102 0.560000 1498 1498 0.000000
61 29 0 0 943.776406 -295.000000 4 99.974102 0.560000 1498 1498 0.000000
61 7 0 0 1123.724609 -315.000000 6 99.974102 0.560000 1498 1498 0.000000
61 15 0 0 1083.724609 -355.000000 6 99.974102 0.560000 1498 1498 0.000000
61 30 0 0 933.776406 -305.000000 4 99.974102 0.560000 1498 1498 0.000000
61 13 0 0 1003.750508 -335.000000 5 99.974102 0.560000 1498 1498 0.000000
61 14 0 0 1043.750508 -295.000000 5 99.974102 0.560000 1498 1498 0.000000
61 16 0 0 1118.724609 -320.000000 6 99.974102 0.560000 1498 1498 0.000000
61 17 0 0 1038.762175 -200.014231 4 99.974102 0.560000 1498 1498 0.000000
121 23 0 0 1316.205859 -122.518750 6 99.974102 0.560000 1498 1498 671.666667
121 25 0 0 1288.738906 49.962500 4 99.974102 0.560000 1498 1498 671.666667
121 18 0 0 998.759676 59.905574 1 99.974102 0.560000 1498 1498 671.666667
121 21 0 0 1143.764805 4.962500 3 99.974102 0.560000 1498 1498 671.666667
121 28 0 0 928.762240 -110.065963 2 99.974102 0.560000 1498 1498 671.666667
121 3 0 0 1376.205859 -62.518750 6 99.974102 0.560000 1498 1498 671.666667
121 5 0 0 1306.231758 -32.518750 5 99.974102 0.560000 1498 1498 671.666667
121 27 0 0 823.250830 -15.629170 0 99.974102 0.560000 1498 1498 167.778670
121 26 0 0 823.250830 -15.629170 0 99.974102 0.560000 1498 1498 167.778670
121 19 0 0 823.250830 -15.629170 0 99.974102 0.560000 1498 1498 167.778670
121 2 0 0 1486.154062 -152.518750 8 99.974102 0.560000 1498 1498 671.666667
121 9 0 0 1168.698711 -370.000000 7 99.974102 0.560000 1498 1498 0.000000
121 8 0 0 1168.646914 -570.000000 9 99.974102 0.560000 1498 1498 0.000000
121 1 0 0 1238.672812 -400.000000 8 99.974102 0.560000 1498 1498 0.000000
121 4 0 0 1178.698711 -360.000000 7 99.974102 0.560000 1498 1498 0.000000
121 22 0 0 1028.750508 -310.000000 5 99.974102 0.560000 1498 1498 0.000000
121 29 0 0 1023.724609 -415.000000 6 99.974102 0.560000 1498 1498 0.000000
121 15 0 0 1278.646914 -460.000000 9 99.974102 0.560000 1498 1498 0.000000
121 13 0 0 1088.724609 -350.000000 6 99.974102 0.560000 1498 1498 0.000000
121 16 0 0 1358.646914 -380.000000 9 99.974102 0.560000 1498 1498 0.000000
121 10 0 0 1153.698711 -385.000000 7 99.974102 0.560000 1498 1498 0.000000
121 12 0 0 1023.776406 -215.000000 4 99.974102 0.560000 1498 1498 0.000000
121 30 0 0 868.750508 -470.000000 5 99.974102 0.560000 1498 1498 0.000000
121 14 0 0 1138.698711 -400.000000 7 99.974102 0.560000 1498 1498 0.000000
121 17 0 0 1108.736276 -230.014231 5 99.974102 0.560000 1498 1498 0.000000
121 7 0 0 1193.698711 -345.000000 7 99.974102 0.560000 1498 1498 0.000000
121 24 0 0 993.750508 -345.000000 5 99.974102 0.560000 1498 1498 0.000000
121 20 0 0 1143.724609 -295.000000 6 99.974102 0.560000 1498 1498 0.000000
121 6 0 0 973.724609 -465.000000 6 99.974102 0.560000 1498 1498 0.000000
121 11 0 0 913.828203 -125.000000 2 99.974102 0.560000 1498 1498 0.000000
181 25 0 0 1456.168359 17.443750 6 99.974102 0.560000 1498 1498 671.666667
181 18 0 0 1066.215027 27.386824 2 99.974102 0.560000 1498 1498 671.666667
181 21 0 0 1126.246055 -12.556250 3 99.974102 0.560000 1498 1498 671.666667
181 14 0 0 1253.646914 -485.000000 9 99.974102 0.560000 1498 1498 0.000000
181 11 0 0 898.828203 -140.000000 2 99.974102 0.560000 1498 1498 0.000000
181 6 0 0 1053.672812 -585.000000 8 99.974102 0.560000 1498 1498 0.000000
181 20 0 0 1128.724609 -310.000000 6 99.974102 0.560000 1498 1498 0.000000
181 24 0 0 1018.724609 -420.000000 6 99.974102 0.560000 1498 1498 0.000000
181 7 0 0 1263.672812 -375.000000 8 99.974102 0.560000 1498 1498 0.000000
181 17 0 0 1178.710378 -260.014231 6 99.974102 0.560000 1498 1498 0.000000
181 30 0 0 903.698711 -635.000000 7 99.974102 0.560000 1498 1498 0.000000
181 12 0 0 993.776406 -245.000000 4 99.974102 0.560000 1498 1498 0.000000
181 10 0 0 1143.646914 -595.000000 9 99.974102 0.560000 1498 1498 0.000000
181 16 0 0 1398.621016 -440.000000 10 99.974102 0.560000 1498 1498 0.000000
181 13 0 0 1073.724609 -365.000000 6 99.974102 0.560000 1498 1498 0.000000
181 15 0 0 1273.621016 -565.000000 10 99.974102 0.560000 1498 1498 0.000000
181 29 0 0 1203.646914 -535.000000 9 99.974102 0.560000 1498 1498 0.000000
181 22 0 0 1098.724609 -340.000000 6 99.974102 0.560000 1498 1498 0.000000
181 4 0 0 1348.646914 -390.000000 9 99.974102 0.560000 1498 1498 0.000000
181 1 0 0 1278.646914 -460.000000 9 99.974102 0.560000 1498 1498 0.000000
181 8 0 0 1288.569219 -750.000000 12 99.974102 0.560000 1498 1498 0.000000
181 9 0 0 1153.698711 -385.000000 7 99.974102 0.560000 1498 1498 0.000000
181 2 0 0 1536.102266 -302.518750 10 99.974102 0.560000 1498 1498 0.000000
181 19 0 0 808.250830 -30.629170 0 99.974102 0.560000 1498 1498 0.000000
181 26 0 0 808.250830 -30.629170 0 99.974102 0.560000 1498 1498 0.000000
181 27 0 0 808.250830 -30.629170 0 99.974102 0.560000 1498 1498 0.000000
