IT_NO ID REVENUES INTERESTS_ACCRUED TOTAL_COSTS TOTAL_WRITEOFFS INTERESTS_PAID NET_EARNINGS RETAINED_EARNINGS TOTAL_DIVIDENDS
1 157 0.000000 0.000000 22312.478000 0.000000 22312.478000 -22312.478000 0.000000 0.000000
1 156 0.000000 0.000000 20966.175000 0.000000 20966.175000 -20966.175000 0.000000 0.000000
61 157 11248.918532 11248.918532 39026.530704 33928.362147 5098.168557 -27777.612171 0.000000 0.000000
61 156 10560.588892 10560.588892 38536.476550 33745.605258 4790.871292 -27975.887658 0.000000 0.000000
121 157 6489.711645 6489.711645 207888.300601 202858.698400 5029.602201 -201398.588957 0.000000 0.000000
121 156 5995.162760 5995.162760 204036.152248 199321.509757 4714.642490 -198040.989487 0.000000 0.000000
181 157 5424.901358 5424.901358 148190.190233 143270.991972 4919.198261 -142765.288875 0.000000 0.000000
181 156 5025.799749 5025.799749 135866.311851 131257.470239 4608.841612 -130840.512102 0.000000 0.000000
241 157 4768.039606 4768.039606 94563.935754 89753.324309 4810.611445 -89795.896148 0.000000 0.000000
241 156 4455.415963 4455.415963 77794.713420 73280.943657 4513.769763 -73339.297457 0.000000 0.000000
301 157 4480.199878 4480.199878 33342.346165 28645.217262 4697.128903 -28862.146287 0.000000 0.000000
301 156 4193.774669 4193.774669 33639.468858 29231.575616 4407.893242 -29445.694189 0.000000 0.000000
361 157 4314.251602 4314.251602 37039.627350 32450.028742 4589.598608 -32725.375748 0.000000 0.000000
361 156 4021.816398 4021.816398 39981.559647 35673.894585 4307.665062 -35959.743249 0.000000 0.000000
421 157 4009.513012 4009.513012 146300.302201 101306.430150 44993.872050 -142290.789188 0.000000 0.000000
421 156 3712.327659 3712.327659 131600.009205 89433.001275 42167.007931 -127887.681546 0.000000 0.000000
481 157 8328.004285 8328.004285 325442.556028 279313.182395 46129.373633 -317114.551743 0.000000 0.000000
481 156 7768.826712 7768.826712 290684.638393 247483.354125 43201.284269 -282915.811681 0.000000 0.000000
541 157 4195.275193 4195.275193 219859.099091 173015.705569 46843.393522 -215663.823898 0.000000 0.000000
541 156 4212.796951 4212.796951 217797.622811 173783.988016 44013.634796 -213584.825860 0.000000 0.000000
601 157 1418.708173 1418.708173 63354.760722 16249.530393 47105.230328 -61936.052549 0.000000 0.000000
601 156 1438.848629 1438.848629 59959.635608 15633.132487 44326.503122 -58520.786979 0.000000 0.000000
661 157 1230.769224 1230.769224 48349.153236 1250.665514 47098.487721 -47118.384011 0.000000 0.000000
661 156 1257.622990 1257.622990 45672.087099 1325.973561 44346.113538 -44414.464109 0.000000 0.000000
721 157 1203.474993 1203.474993 47828.971088 715.820134 47113.150954 -46625.496095 0.000000 0.000000
721 156 1220.157083 1220.157083 44655.037803 275.259569 44379.778235 -43434.880720 0.000000 0.000000
781 157 1187.412352 1187.412352 47707.892740 578.351006 47129.541734 -46520.480387 0.000000 0.000000
781 156 1213.599719 1213.599719 44415.516986 0.000000 44415.516986 -43201.917267 0.000000 0.000000
841 157 1179.197433 1179.197433 4714.732245 0.000000 4714.732245 -3535.534811 0.000000 0.000000
841 156 1212.208096 1212.208096 4445.246202 0.000000 4445.246202 -3233.038106 0.000000 0.000000
901 157 385.250749 385.250749 7257.220411 2754.136332 4503.084079 -6871.969662 0.000000 0.000000
901 156 390.781469 390.781469 5911.706606 1661.642364 4250.064242 -5520.925137 0.000000 0.000000
961 157 350.476993 350.476993 7677.377868 3390.499460 4286.878408 -7326.900875 0.000000 0.000000
961 156 367.340258 367.340258 6681.675345 2633.150383 4048.524962 -6314.335087 0.000000 0.000000
1021 157 340.403577 340.403577 4947.799631 877.203967 4070.595663 -4607.396054 0.000000 0.000000
1021 156 359.495122 359.495122 5148.846636 1303.386027 3845.460609 -4789.351513 0.000000 0.000000
1081 157 328.745895 328.745895 4990.154136 1142.726136 3847.428000 -4661.408241 0.000000 0.000000
1081 156 338.639259 338.639259 6028.821669 2381.250865 3647.570804 -5690.182410 0.000000 0.000000
1141 157 321.561285 321.561285 3628.449799 0.000000 3628.449799 -3306.888514 0.000000 0.000000
1141 156 325.518515 325.518515 3443.553752 0.000000 3443.553752 -3118.035237 0.000000 0.000000
1201 157 317.456693 317.456693 3410.046017 0.000000 3410.046017 -3092.589324 0.000000 0.000000
1201 156 319.618744 319.618744 3908.213820 671.666667 3236.547153 -3588.595075 0.000000 0.000000
1261 157 316.398372 316.398372 3186.982079 0.000000 3186.982079 -2870.583707 0.000000 0.000000
1261 156 318.605866 318.605866 3032.406403 0.000000 3032.406403 -2713.800537 0.000000 0.000000
1321 157 315.333435 315.333435 2966.999357 0.000000 2966.999357 -2651.665921 0.000000 0.000000
1321 156 317.586657 317.586657 2821.398338 0.000000 2821.398338 -2503.811681 0.000000 0.000000
1381 157 314.891013 314.891013 2741.430327 0.000000 2741.430327 -2426.539314 0.000000 0.000000
1381 156 317.190248 317.190248 2613.449338 0.000000 2613.449338 -2296.259090 0.000000 0.000000
1441 157 314.110316 314.110316 2517.016460 0.000000 2517.016460 -2202.906144 0.000000 0.000000
1441 156 314.500370 314.500370 2403.132401 0.000000 2403.132401 -2088.632031 0.000000 0.000000
1501 157 312.366794 312.366794 2289.698156 0.000000 2289.698156 -1977.331362 0.000000 0.000000
1501 156 311.819584 311.819584 2191.154274 0.000000 2191.154274 -1879.334690 0.000000 0.000000
1561 157 311.580385 311.580385 2061.626267 0.000000 2061.626267 -1750.045882 0.000000 0.000000
1561 156 310.133373 310.133373 1980.247110 0.000000 1980.247110 -1670.113736 0.000000 0.000000
1621 157 309.834273 309.834273 1832.038119 0.000000 1832.038119 -1522.203847 0.000000 0.000000
1621 156 308.120138 308.120138 1766.144303 0.000000 1766.144303 -1458.024165 0.000000 0.000000
1681 157 307.762364 307.762364 1601.964069 0.000000 1601.964069 -1294.201705 0.000000 0.000000
1681 156 305.763211 305.763211 1552.947837 0.000000 1552.947837 -1247.184626 0.000000 0.000000
1741 157 305.369456 305.369456 1370.282259 0.000000 1370.282259 -1064.912803 0.000000 0.000000
1741 156 303.760899 303.760899 1336.500740 0.000000 1336.500740 -1032.739841 0.000000 0.000000
1801 157 302.660406 302.660406 1137.440338 0.000000 1137.440338 -834.779932 0.000000 0.000000
1801 156 302.728080 302.728080 1120.898143 0.000000 1120.898143 -818.170063 0.000000 0.000000
1861 157 301.242594 301.242594 902.543772 0.000000 902.543772 -601.301178 0.000000 0.000000
1861 156 300.727327 300.727327 903.182934 0.000000 903.182934 -602.455607 0.000000 0.000000
1921 157 297.110780 297.110780 668.138112 0.000000 668.138112 -371.027333 0.000000 0.000000
1921 156 298.251515 298.251515 684.638794 0.000000 684.638794 -386.387279 0.000000 0.000000
1981 157 293.161730 293.161730 431.940443 0.000000 431.940443 -138.778712 0.000000 0.000000
1981 156 292.452921 292.452921 463.696881 0.000000 463.696881 -171.243959 0.000000 0.000000
2041 157 289.629215 289.629215 194.581437 0.000000 194.581437 95.047779 0.000000 0.000000
2041 156 288.117305 288.117305 243.555640 0.000000 243.555640 44.561665 0.000000 0.000000
2101 157 285.409867 285.409867 0.000000 0.000000 0.000000 285.409867 95.047779 0.000000
2101 156 284.123975 284.123975 20.605650 0.000000 20.605650 263.518325 44.561665 0.000000
2161 157 279.967960 279.967960 0.000000 0.000000 0.000000 279.967960 285.409867 0.000000
2161 156 276.877074 276.877074 0.000000 0.000000 0.000000 276.877074 263.518325 0.000000
2221 157 272.547366 272.547366 0.000000 0.000000 0.000000 272.547366 279.967960 0.000000
2221 156 273.262794 273.262794 0.000000 0.000000 0.000000 273.262794 276.877074 0.000000
2281 157 263.592678 263.592678 0.000000 0.000000 0.000000 263.592678 272.547366 0.000000
2281 156 266.273023 266.273023 0.000000 0.000000 0.000000 266.273023 273.262794 0.000000
2341 157 256.997683 256.997683 0.000000 0.000000 0.000000 256.997683 263.592678 0.000000
2341 156 260.265004 260.265004 0.000000 0.000000 0.000000 260.265004 266.273023 0.000000
2401 157 243.685541 243.685541 0.000000 0.000000 0.000000 243.685541 256.997683 0.000000
2401 156 254.001914 254.001914 0.000000 0.000000 0.000000 254.001914 260.265004 0.000000
2461 157 229.215436 229.215436 0.000000 0.000000 0.000000 229.215436 243.685541 0.000000
2461 156 242.831659 242.831659 0.000000 0.000000 0.000000 242.831659 254.001914 0.000000
2521 157 220.684257 220.684257 0.000000 0.000000 0.000000 220.684257 229.215436 0.000000
2521 156 227.090171 227.090171 0.000000 0.000000 0.000000 227.090171 242.831659 0.000000
2581 157 200.547987 200.547987 0.000000 0.000000 0.000000 200.547987 220.684257 0.000000
2581 156 216.268405 216.268405 0.000000 0.000000 0.000000 216.268405 227.090171 0.000000
2641 157 189.339837 189.339837 0.000000 0.000000 0.000000 189.339837 200.547987 0.000000
2641 156 207.799109 207.799109 0.000000 0.000000 0.000000 207.799109 216.268405 0.000000
2701 157 184.040569 184.040569 0.000000 0.000000 0.000000 184.040569 189.339837 0.000000
2701 156 194.544415 194.544415 0.000000 0.000000 0.000000 194.544415 207.799109 0.000000
2761 157 178.177898 178.177898 0.000000 0.000000 0.000000 178.177898 184.040569 0.000000
2761 156 185.368377 185.368377 0.000000 0.000000 0.000000 185.368377 194.544415 0.000000
2821 157 168.682145 168.682145 0.000000 0.000000 0.000000 168.682145 178.177898 0.000000
2821 156 176.388778 176.388778 0.000000 0.000000 0.000000 176.388778 185.368377 0.000000
2881 157 159.606330 159.606330 0.000000 0.000000 0.000000 159.606330 168.682145 0.000000
2881 156 173.777800 173.777800 0.000000 0.000000 0.000000 173.777800 176.388778 0.000000
2941 157 148.874042 148.874042 0.000000 0.000000 0.000000 148.874042 159.606330 0.000000
2941 156 162.110735 162.110735 0.000000 0.000000 0.000000 162.110735 173.777800 0.000000
3001 157 138.169482 138.169482 0.000000 0.000000 0.000000 138.169482 148.874042 0.000000
3001 156 146.101762 146.101762 0.000000 0.000000 0.000000 146.101762 162.110735 0.000000
3061 157 129.475663 129.475663 0.000000 0.000000 0.000000 129.475663 138.169482 0.000000
3061 156 132.084427 132.084427 0.000000 0.000000 0.000000 132.084427 146.101762 0.000000
3121 157 120.295102 120.295102 0.000000 0.000000 0.000000 120.295102 129.475663 0.000000
3121 156 122.963369 122.963369 0.000000 0.000000 0.000000 122.963369 132.084427 0.000000
3181 157 109.463823 109.463823 0.000000 0.000000 0.000000 109.463823 120.295102 0.000000
3181 156 116.898487 116.898487 0.000000 0.000000 0.000000 116.898487 122.963369 0.000000
3241 157 105.619874 105.619874 0.000000 0.000000 0.000000 105.619874 109.463823 0.000000
3241 156 106.745745 106.745745 0.000000 0.000000 0.000000 106.745745 116.898487 0.000000
3301 157 98.757131 98.757131 0.000000 0.000000 0.000000 98.757131 105.619874 0.000000
3301 156 102.857584 102.857584 0.000000 0.000000 0.000000 102.857584 106.745745 0.000000
3361 157 95.699030 95.699030 0.000000 0.000000 0.000000 95.699030 98.757131 0.000000
3361 156 99.272668 99.272668 0.000000 0.000000 0.000000 99.272668 102.857584 0.000000
3421 157 93.413769 93.413769 0.000000 0.000000 0.000000 93.413769 95.699030 0.000000
3421 156 99.242473 99.242473 0.000000 0.000000 0.000000 99.242473 99.272668 0.000000
3481 157 88.973842 88.973842 0.000000 0.000000 0.000000 88.973842 93.413769 0.000000
3481 156 98.483917 98.483917 0.000000 0.000000 0.000000 98.483917 99.242473 0.000000
3541 157 86.040772 86.040772 0.000000 0.000000 0.000000 86.040772 88.973842 0.000000
3541 156 97.012286 97.012286 0.000000 0.000000 0.000000 97.012286 98.483917 0.000000
