IT_NO DIVIDENDS_RECIEVED SHARE_FIRMS SHARE_CONSTRUCTION_FIRMS SHARE_BANKS DIVIDENDS_RETAINED LIQUIDITY
1 2310.350000 2310.350000 0.000000 0.000000 0.000000 3310.350000
61 200.779007 200.779007 0.000000 0.000000 3304.853336 206.275671
121 0.000000 0.000000 0.000000 0.000000 173.107602 5.496664
181 69.543861 69.543861 0.000000 0.000000 0.000000 75.040525
241 101.348300 101.348300 0.000000 0.000000 60.586241 106.844964
301 110.092373 110.092373 0.000000 0.000000 60.629170 115.589036
361 160.197408 160.197408 0.000000 0.000000 84.175263 165.694072
421 972.272463 972.272463 0.000000 0.000000 150.000000 977.769126
481 1474.971380 1474.971380 0.000000 0.000000 948.896289 1480.468044
541 2554.174843 2554.174843 0.000000 0.000000 1265.000000 2559.671507
601 3045.282195 3045.282195 0.000000 0.000000 2552.518750 3050.778859
661 3045.282195 3045.282195 0.000000 0.000000 3042.631250 3050.778859
721 3045.282195 3045.282195 0.000000 0.000000 3040.000000 3050.778859
781 3045.282195 3045.282195 0.000000 0.000000 2962.518750 3050.778859
841 995.020956 995.020956 0.000000 0.000000 3033.231486 1000.517620
901 1079.695549 1079.695549 0.000000 0.000000 997.575118 1082.638051
961 1079.695549 1079.695549 0.000000 0.000000 1030.037500 1082.638051
1021 1079.695549 1079.695549 0.000000 0.000000 1070.037500 1082.638051
1081 1079.695549 1079.695549 0.000000 0.000000 995.000000 1082.638051
1141 1079.695549 1079.695549 0.000000 0.000000 1075.037500 1082.638051
1201 1079.695549 1079.695549 0.000000 0.000000 662.518750 1082.638051
1261 1079.695549 1079.695549 0.000000 0.000000 150.000000 1082.638051
1321 1079.695549 1079.695549 0.000000 0.000000 600.000000 1082.638051
1381 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
1441 1079.695549 1079.695549 0.000000 0.000000 631.258340 1082.638051
1501 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
1561 1079.695549 1079.695549 0.000000 0.000000 662.516680 1082.638051
1621 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
1681 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
1741 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
1801 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
1861 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
1921 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
1981 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2041 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2101 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2161 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2221 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2281 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2341 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2401 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2461 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2521 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2581 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2641 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2701 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2761 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2821 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
2881 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
2941 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
3001 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
3061 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
3121 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
3181 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
3241 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
3301 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
3361 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
3421 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
3481 1079.695549 1079.695549 0.000000 0.000000 693.775020 1082.638051
3541 1079.695549 1079.695549 0.000000 0.000000 212.516680 1082.638051
