IT_NO UNEMPLOYMENT_RATE LABOUR_TAX_RATE CAPITAL_TAX_RATE GOV_GENERAL_BENEFIT_RATE LABOUR_TAX_INCOME CAPITAL_TAX_INCOME CENTRALBANK_INCOME UNEMPLOYMENT_BENEFITS GENERAL_BENEFITS LIQUIDITY DEBT
1 0.100000 0.200000 0.200000 0.300000 0.000000 0.000000 43278.653000 0.000000 0.000000 43278.653000 0.000000
61 0.169375 0.200000 0.200000 0.300000 20858.000000 0.000000 9889.039848 6466.871019 35996.622611 31562.199218 0.000000
121 0.234375 0.200000 0.200000 0.300000 18686.000000 5.534281 9744.244692 11983.120801 35994.372481 12020.484909 0.000000
181 0.309375 0.200000 0.200000 0.300000 16749.000000 0.000000 9528.039874 16627.500000 36000.000000 -14329.975218 0.000000
241 0.335500 0.200000 0.200000 0.300000 16068.000000 1.791524 9324.381207 19307.500000 36000.000000 -44243.302486 0.000000
301 0.357125 0.200000 0.200000 0.300000 15525.000000 8.143826 9105.022145 20755.000000 36000.000000 -76360.136515 0.000000
361 0.407875 0.200000 0.200000 0.300000 14245.000000 5.183422 8897.263670 23372.500000 36000.000000 -112585.189424 0.000000
421 0.562875 0.200000 0.200000 0.300000 10493.000000 2.039482 87160.879981 30667.500000 36000.000000 -81596.769961 0.000000
481 0.766125 0.200000 0.200000 0.300000 5617.000000 4.675235 89330.657902 41892.500000 36000.000000 -64536.936825 0.000000
541 0.949500 0.200000 0.200000 0.300000 1216.000000 41.994276 90857.028318 53292.500000 36000.000000 -61714.414231 0.000000
601 0.950000 0.200000 0.200000 0.300000 1207.000000 0.331219 91431.733450 56972.500000 36000.000000 -62047.849562 0.000000
661 0.950875 0.200000 0.200000 0.300000 1188.000000 0.530189 91444.601259 57012.500000 36000.000000 -62427.218114 0.000000
721 0.951375 0.200000 0.200000 0.300000 1169.000000 1.056439 91492.929188 57067.500000 36000.000000 -62831.732486 0.000000
781 0.951500 0.200000 0.200000 0.300000 1164.000000 16.552689 91545.058720 57087.500000 36000.000000 -63193.621077 0.000000
841 0.951750 0.200000 0.200000 0.300000 1160.000000 2.410142 9159.978447 57095.000000 36000.000000 -145966.232489 0.000000
901 0.957500 0.200000 0.200000 0.300000 1020.000000 0.000000 8753.148321 57335.000000 36000.000000 -229528.084168 0.000000
961 0.957750 0.200000 0.200000 0.300000 1018.000000 9.931610 8335.403371 57450.000000 36000.000000 -313614.749187 0.000000
1021 0.960875 0.200000 0.200000 0.300000 940.000000 1.931610 7916.056272 57587.500000 36000.000000 -398344.261306 0.000000
1081 0.960875 0.200000 0.200000 0.300000 939.000000 16.939110 7494.998805 57652.500000 36000.000000 -483545.823391 0.000000
1141 0.960875 0.200000 0.200000 0.300000 939.000000 0.931610 7072.003551 57652.500000 36000.000000 -569186.388231 0.000000
1201 0.960875 0.200000 0.200000 0.300000 939.000000 83.435360 6646.593170 57652.500000 36000.000000 -655169.859701 0.000000
1261 0.960875 0.200000 0.200000 0.300000 939.000000 185.939110 6219.388482 57652.500000 36000.000000 -741478.032110 0.000000
1321 0.960875 0.200000 0.200000 0.300000 939.000000 95.939110 5788.397695 57652.500000 36000.000000 -828307.195305 0.000000
1381 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 5354.879665 57652.500000 36000.000000 -915492.379866 0.000000
1441 0.960875 0.200000 0.200000 0.300000 939.000000 89.687442 4920.148861 57652.500000 36000.000000 -1003196.043564 0.000000
1501 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 4480.852430 57652.500000 36000.000000 -1091255.255360 0.000000
1561 0.960875 0.200000 0.200000 0.300000 939.000000 83.435774 4041.873377 57652.500000 36000.000000 -1179843.446210 0.000000
1621 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 3598.182422 57652.500000 36000.000000 -1268785.328013 0.000000
1681 0.960875 0.200000 0.200000 0.300000 939.000000 77.184106 3154.911907 57652.500000 36000.000000 -1358266.732001 0.000000
1741 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 2706.782999 57652.500000 36000.000000 -1448100.013228 0.000000
1801 0.960875 0.200000 0.200000 0.300000 939.000000 77.184106 2258.338481 57652.500000 36000.000000 -1538477.990641 0.000000
1861 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 1805.726706 57652.500000 36000.000000 -1629212.328162 0.000000
1921 0.960875 0.200000 0.200000 0.300000 939.000000 77.184106 1352.776906 57652.500000 36000.000000 -1720495.867150 0.000000
1981 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 895.637324 57652.500000 36000.000000 -1812140.294052 0.000000
2041 0.960875 0.200000 0.200000 0.300000 939.000000 77.184106 438.137077 57652.500000 36000.000000 -1904338.472870 0.000000
2101 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 20.605650 57652.500000 36000.000000 -1996857.931447 0.000000
2161 0.960875 0.200000 0.200000 0.300000 939.000000 77.184106 0.000000 57652.500000 36000.000000 -2089494.247341 0.000000
2221 0.960875 0.200000 0.200000 0.300000 939.000000 173.435774 0.000000 57652.500000 36000.000000 -2182034.311567 0.000000
